"AAPG Bulletin","AAPG Bull."
"International Journal of Plasma Science and Engineering","Int. J. Plasma Sci. Eng."
"International Journal of Plasticity","Int. J. Plast."
"International Journal of Plastics Technology","Int. J. Plast. Technol."
"International Journal of Polymer Analysis and Characterization","Int. J. Polym. Anal. Charact."
"International Journal of Polymeric Materials","Int. J. Polym. Mater."
"International Journal of Powder Metallurgy","Int. J. Powder Metall"
"International Journal of Power and Energy Systems","Int. J. Power Energy Syst"
"International Journal of Precision Engineering and Manufacturing","Int. J. Precis. Eng. Manuf."
"International Journal of Pressure Vessels and Piping","Int. J. Press. Vessels Pip."
"International Journal of Production Economics","Int. J. Prod. Econ."
"International Journal of Production Research","Int. J. Prod. Res."
"International Journal of Project Management","Int. J. Project Manage."
"International Journal of Quantum Chemistry","Int. J. Quantum Chem."
"International Journal of RF Technologies: Research and Aoplications","Int. J. RF Technol. Res. Appl."
"International Journal of RF and Microwave Computer-Aided Engineering","Int. J. RF Microwave Comput. Aided Eng."
"International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes","Int. J. Radiat. Appl. Instrum. Part A"
"International Journal of Radiation Applications and Instrumentation. Part B. Nuclear Medicine and Biology","Int. J. Radiat. Appl. Instrum. Part B"
"International Journal of Radiation Applications and Instrumentation. Part C. Radiation Physics and Chemistry","Int. J. Radiat. Appl. Instrum. Part C"
"International Journal of Radiation Applications and Instrumentation. Part D. Nuclear Tracks and Radiation Measurements","Int. J. Radiat. Appl. Instrum. Part D"
"International Journal of Radiation Applications and Instrumentation. Part E. Nuclear Geophysics","Int. J. Radiat. Appl. Instrum. Part E"
"International Journal of Radiation Biology","Int. J. Radiat. Biol."
"International Journal of Radiation Medicine","Int. J. Radiat. Med."
"International Journal of Radiation Oncology Biology Physics","Int. J. Radiat. Oncol. Biol. Phys."
"International Journal of Radiation Physics","Int. J. Radiat. Phys."
"International Journal of Radio Frequency Identification Technology and Applications","Int. J. Radio Freq. Identif. Technol. Appl."
"International Journal of Refractory Metals and Hard Materials","Int. J. Refract. Met. Hard Mater"
"International Journal of Refrigeration","Int. J. Refrig"
"International Journal of Rehabilitation Research","Int. J. Rehabil. Res."
"International Journal of Reliability and Safety","Int. J. Reliab. Saf."
"International Journal of Reliability, Quality and Safety Engineering","Int. J. Reliab. Qual. Saf. Eng."
"International Journal of Remote Sensing","Int. J. Remote Sens."
"International Journal of Robotics Research","Int. J. Rob. Res."
"International Journal of Robotics and Automation","Int. J. Rob. Autom."
"International Journal of Robust and Nonlinear Control","Int. J. Robust Nonlinear Control"
"International Journal of Rock Mechanics and Mining Sciences","Int. J. Rock Mech. Min. Sci."
"International Journal of Rotating Machinery","Int. J. Rotating Mach."
"International Journal of Satellite Communications and Networking","Int. J. Satell. Commun. Networking"
"International Journal of Security and Networks","Int. J. Secur. Netw."
"International Journal of Sediment Research","Int. J. Sediment Res."
"International Journal of Self-Propagating High-Temperature Synthesis","Int. J. Self-Propag. High-Temp. Synth."
"International Journal of Services Operations and Informatics","Int. J. Serv. Oper. Inf."
"International Journal of Services, Technology and Management","Int. J. Serv. Technol. Manage."
"International Journal of Shape Modeling","Int. J. Shape Model."
"International Journal of Simulation and Process Modelling","Int. J. Simul. Process Model."
"International Journal of Simulation: Systems, Science and Technology","Int. J. Simul. Syst. Sci. Technol."
"International Journal of Smart Sensing and Intelligent Systems","Int. J. Smart Sens. Intell. Syst."
"International Journal of Soft Computing","Int. J. Soft Comput."
"International Journal of Software Engineering and Knowledge Engineering","Int. J. Software Eng. Knowledge Eng."
"International Journal of Soil Dynamics and Earthquake Engineering","Int. J. Soil Dyn. Earthquake Eng."
"International Journal of Soil Science","Int. J. Soil Sci."
"International Journal of Solids and Structures","Int. J. Solids Struct."
"International Journal of Space Structures","Int. J. Space Struct."
"International Journal of Speech Technology","Int. J. Speech Technol."
"International Journal of Sport Nutrition","Int. J. Sport Nutr."
"International Journal of Sport Nutrition and Exercise Metabolism","Int. J. Sport Nutr. Exercise Metab."
"International Journal of Sports Medicine","Int. J. Sports Med."
"International Journal of Structural Stability and Dynamics","Int. J. Struct. Stab. Dyn."
"International Journal of Sulfur Chemistry Part A: Original Experimental and Theoretical Studies","Int. J. Sulfur Chem. Part A:"
"International Journal of Sulfur Chemistry Part B: Quartler Reports on Sulfur Chemistry","Int. J. Sulfur Chem. Part B:"
"International Journal of Surface Mining, Reclamation, and Environment","Int. J. Surf. Min. Reclam. Environ."
"International Journal of Surface Science and Engineering","Int. J. Surf. Sci. Eng."
"International Journal of Sustainable Development","Int. J. Sustainable Dev."
"International Journal of Sustainable Energy","Int. J. Sustainable Energy"
"International Journal of Sustainable Engineering","Int. J. Sustainable Eng."
"International Journal of Systems Science","Int. J. Syst. Sci."
"International Journal of Technology Assessment in Health Care","Int. J. Technol. Assess. Health Care"
"International Journal of Technology Intelligence and Planning","Int. J. Technol. Intell. Plann."
"International Journal of Technology Management","Int. J. Technol. Manage."
"International Journal of Technology and Design Education","Int. J. Technol. Des. Educ."
"International Journal of Technology and Human Interaction","Int. J. Technol. Hum. Interact."
"International Journal of Technology, Policy and Management","Int. J. Technol. Policy Manage."
"International Journal of Theoretical Physics","Int. J. Theor. Phys."
"International Journal of Theoretical Physics, Group Theory, and Nonlinear Optics","Int. J. Theor. Phys. Group Theory Nonlinear Opt."
"International Journal of Thermal Sciences","Int. J. Therm. Sci."
"International Journal of Thermodynamics","Int. J. Thermodyn."
"International Journal of Thermophysics","Int. J. Thermophys."
"International Journal of Transport Phenomena","Int. J. Transp. Phenom."
"International Journal of Tropical Insect Science","Int. J. Trop. Insect Sci."
"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems","Int. J. Uncertainty Fuzziness Knowledge Based Syst."
"International Journal of Vehicle Autonomous Systems","Int. J. Veh. Auton. Syst."
"International Journal of Vehicle Design","Int. J. Veh. Des."
"International Journal of Vehicle Information and Communication Systems","Int. J. Veh. Inf. Commun. Syst."
"International Journal of Vehicle Noise and Vibration","Int. J. Veh. Noise Vib."
"International Journal of Vehicle Safety","Int. J. Veh. Saf."
"International Journal of Vehicle Systems Modelling and Testing","Int. J. Veh. Syst. Model. Test."
"International Journal of Ventilation","Int. J. Vent."
"International Journal of Water","Int. J. Water"
"International Journal of Water Resources Development","Int. J. Water Resour. Dev."
"International Journal of Wavelets, Multiresolution and Information Processing","Int. J. Wavelets Multiresolution Inf. Process."
"International Journal of Web Based Communities","Int. J. Web Based Communities"
"International Journal of Web Engineering and Technology","Int. J. Web Eng. Technol."
"International Journal of Web Services Research","Int. J. Web Serv. Res."
"International Journal of Web and Grid Services","Int. J. Web Grid Serv."
"International Journal of Wireless Information Networks","Int. J. Wireless Inf. Networks"
"International Journal of Wireless and Mobile Computing","Int. J. Wireless Mobile Comput."
"International Journal of the Japan Society for Precision Engineering","Int. J. Jpn Soc. Precis. Eng."
"International Journal of the Society of Material Engineering for Resources","Int. J. Soc. Mater. Eng. Resour."
"International Journal on Algae","Int. J. Algae"
"International Journal on Artificial Intelligence Tools","Int. J. Artif. Intell. Tools"
"International Journal on Document Analysis and Recognition","Int. J. Doc. Anal. Recogn."
"International Journal on Hydropower and Dams","Int. J. Hydropower Dams"
"International Journal on Interactive Design and Manufacturing","Int. J. Interact. Des. Manuf."
"International Journal on Software Tools for Technology Transfer","Int. J. Softw. Tools Technol. Trans."
"International Materials Reviews","Int. Mater. Rev."
"International Nonwovens Journal","Int. Nonwovens J."
"International Peat Journal","Int. Peat J."
"International Polymer Processing","Int. Polym. Proc."
"International Review of Hydrobiology","Int. Rev. Hydrobiol."
"International Review of Poultry Science","Int. Rev. Poult. Sci."
"International Reviews in Physical Chemistry","Int. Rev. Phys. Chem."
"International Sugar Journal","Int. Sugar J."
"Internationale Revue der Gesamten Hydrobiologie","Int. Rev. Gesamten Hydrobiol."
"Internet Journal of Chemistry","Internet J. Chem."
"Internet Journal of Vibrational Spectroscopy","Internet J. Vib. Spectro."
"Inverse Problems","Inverse Prob."
"Inverse Problems in Engineerign","Inverse Prob. Eng."
"Inverse Problems in Science and Engineering","Inverse Prob. Sci. Eng."
"Investigational New Drugs","Invest. New Drugs"
"Inzynieria Chemiczna i Procesowa","Inz. Chem. Procesowa"
"Ion Exchange and Solvent Extraction","Ion Exch. Solvent Extr."
"Iran Biomedical Journal","Iran. Biomed. J."
"Iranian Journal of Chemistry & Chemical Engineering","Iran. J. Chem. Chem. Eng."
"Iranian Journal of Materials Science and Engineering","Iran. J. Mater. Sci. Eng."
"Iranian Journal of Polymer Science & Technology","Iran. J. Polym Sci. Technol."
"Iranian Polymer Journal","Iran. Polym. J."
"Ironmaking and Steelmaking","Ironmaking Steelmaking"
"Isotope Geoscience","Isot. Geosci."
"Isotopes and Radiation Technology","Isot. Radiat. Technol."
"Isotopes in Environmental and Health Studies","Isot. Environ. Health Stud."
"Israel Journal of Chemistry","Isr. J. Chem."
"Italian Journal of Biochemistry","Ital. J. Biochem."
"Italian Journal of Food Science","Ital. J. Food Sci."
"Italian Journal of Pure and Applied Mathematics","Ital. J. Pure Appl. Math."
"Izvestiya Atmospheric and Oceanic Physics","Izv. Atmos. Oceanic Phys."
"Izvestiya Physics of the Solid Earth","Izv. Phys. Solid Earth"
"J Journal of Agricultural Safety and Health","J. Agric. Saf. Health"
"JETP Letters","JETP Lett."
"JFE Journal du Four Electrique","JFE J. Four Electr."
"JFE Journal du Four Electrique & des Industries Electrochimiques","JFE J. Four Electr. Ind. Electrochim."
"JOM Journal of the Minerals Metals and Materials Society","JOM"
"JOT Journal fur Oberflaechentechnik","JOT, J. Oberflaechentech."
"JPC Journal of Planar Chromatography Modern TLC","JPC J. Planar Chromatogr. - Mod. TLC"
"JSME International Journal Series A: Mechanics and Material Engineering","JSME Int J., Ser. A"
"JSME International Journal Series B: Fluids and Thermal Engineering","JSME Int J., Ser. B"
"JSME International Journal Series C: Mechanical Systems Machine Elements and Manufacturing","JSME Int J., Ser. C"
"Jahrbuch Max Planck Gesellschaft","Jahrb. Max Planck Gesell."
"Jahrbuch Oberflachentechnik","Jahrb. Oberflachentech."
"Jahrbuch der Deutschen Luftfahrtforschung","Jahrb. Dtsch. Luftfahrtforsch."
"Jahrbuch der Geologischen Bundesanstalt","Jahrb. Geol. Bundesanst."
"Jahrbuch der Preussischen Geologischen Landesanstalt","Jahrb. Preuss. Geol. Landesanst."
"Jahrbuch der Versuchs und Lehranstalt fur Brauerei in Berlin","Jahrb. Vers. Lehranst. Brau. Berlin"
"Jahrbucher fur Wissenschaftliche Botanik","Jahrb. Wiss. Bot."
"Japan Journal of Industral and Applied Mathematics","Jpn. J. Ind. Appl. Math."
"Japan Journal of Industrial and Applied Mathematics","Jpn. J. Ind. Appl. Math."
"Japan Society of Mechanical Engineers International Journal Series A: Solid Mechanics and Material Engineering","J. Soc. Mech. Eng. Int. J. Ser.A:"
"Japan Society of Mechanical Engineers International Journal Series B: Fluids and Thermal Engineering","J. Soc. Mech. Eng. Int. J. Ser.B:"
"Japan Society of Mechanical Engineers International Journal Series C: Mechanical Systems, Machine Elements and Manufacturing","J. Soc. Mech. Eng. Int. J. Ser.C:"
"Japanese Journal of Applied Physics Part 1","Jpn. J. Appl. Phys., Part 1"
"Japanese Journal of Applied Physics Part 2","Jpn. J. Appl. Phys., Part 2"
"Japanese Journal of Cancer Research","Jpn. J. Cancer Res."
"Japanese Journal of Pharmacology","Jpn. J. Pharmacol."
"Japanese Journal of Phycology","Jpn. J. Phycol."
"Japanese Journal of toxicology and Environment health","Jpn. J. Toxicol. Environ. Health"
"Jordan Journal of Chemistry","Jordan J. Chem."
"Journal - Association of Official Analytical Chemists","J. Assoc. Off. Anal. Chem."
"Journal American Water Works Association","J. Am. Water Works Assn."
"Journal Europeen d'Hydrologie","J. Eur. Hydrol."
"Journal Water Pollution Control Federation","J. Water Pollut. Control Fed."
"Journal and Proceedings of the Royal Institute of Chemistry","J. Proc. R. Inst. Chem."
"Journal and Proceedings of the Royal Institute of Chemistry of Great Britain and Ireland","J. Proc. R. Inst. G.B. Irel."
"Journal and Proceedins of the Institute of Chemistry of Great Britain and Ireland","J. Proc. Inst. Chem. G.B. Irel."
"Journal de Chimie Physique et de Physico-Chimie Biologique","J. Chim. Phys. Phys.- Chim. Biol."
"Journal de Medecine Nucleaire et Biophysique","J. Med. Nucl. Biophys."
"Journal de Physique","J. Phys."
"Journal de Physique I","J. Phys. I"
"Journal de Physique II","J. Phys. II"
"Journal de Physique III","J. Phys. III"
"Journal de Physique IV","J. Phys. IV"
"Journal de Physique et le Radium","J. Phys. Radium"
"Journal de Toxicologie Clinique et Experimentale","J. Toxicol. Clin. Exp."
"Journal de Toxicologie Medicale","J. Toxicol. Med."
"Journal de la Societe Algerienne de Chimie","J. Soc. Alg. Chim."
"Journal de la Societe Chimique de Tunisie","J. Soc. Chim. Tunis."
"Journal de la Societe Ouest Africaine de Chimie","J. Soc. Ouest Afr. Chim."
"Journal de la Societe de Biologie","J. Soc. Biol."
"Journal fur Gasbeleuchtung und Verwandte Beleuchtungsarten sowie fur Wasserversorgung","J. Gasbeleucht. Verw. Beleuchtungsarten Wasserversorg."
"Journal fur Kulturpflanzen","J. Kulturpflanz."
"Journal fur Landwirtschaft","J. Landwirtschaft"
"Journal fur Praktische Chemie","J. Prakt. Chem."
"Journal fur Verbraucherschutz und Lebensmittelsicherheit","J. Verbraucherschutz Lebensmittelsicherh."
"Journal of AOAC International","J. AOAC Int."
"Journal of ASTM International","J. ASTM Int."
"Journal of Adhesion","J. Adhes."
"Journal of Adhesion Science and Technology","J. Adhes. Sci. Technol."
"Journal of Advanced Concrete Technology","J. Adv. Concr. Technol."
"Journal of Advanced Materials","J. Adv. Mater."
"Journal of Advanced Research","J. Adv. Res."
"Journal of Aerosol Science","J. Aerosol Sci."
"Journal of Aerospace Engineering","J. Aerosp. Eng."
"Journal of African Earth Sciences","J. Afr. Earth. Sci."
"Journal of Agricultural Engineering Research","J. Agric. Eng. Res."
"Journal of Agricultural Science","J. Agric. Sci."
"Journal of Agricultural and Food Chemistry","J. Agric. Food Chem."
"Journal of Agroalimentary Processes and Technologies","J. Agroaliment. Proc. Technol."
"Journal of Alloys and Compounds","J. Alloys Compd."
"Journal of Alzheimer's Disease","J. Alzheimers Dis."
"Journal of Ambient Intelligence and Smart Environments","J. Ambient Intell. Smart Environ."
"Journal of Analytical Atomic Spectrometry","J. Anal. At. Spectrom."
"Journal of Analytical Chemistry","J. Anal. Chem."
"Journal of Analytical Toxicology","J. Anal. Toxicol."
"Journal of Analytical and Applied Pyrolysis","J. Anal. Appl. Pyrolysis"
"Journal of Animal Science","J. Anim. Sci."
"Journal of Antibiotics","J. Antibiot."
"Journal of Antimicrobial Chemotherapy","J. Antimicrob. Chemother."
"Journal of Apicultural Research","J. Apic. Res."
"Journal of Applied Bacteriology","J. Appl. Bacteriol."
"Journal of Applied Biological Chemistry","J. Appl. Biol. Chem."
"Journal of Applied Biological Sciences","J. Appl. Biol. Sci."
"Journal of Applied Biomaterials","J. Appl. Biomater."
"Journal of Applied Biomedicine","J. Appl. Biomed."
"Journal of Applied Chemistry","J. Appl. Chem."
"Journal of Applied Chemistry & Biotechnology","J. Appl. Chem. Biotech."
"Journal of Applied Crystallography","J. Appl. Crystallogr."
"Journal of Applied Ecology","J. Appl. Ecol."
"Journal of Applied Electrochemistry","J. Appl. Electrochem."
"Journal of Applied Entomology","J. Appl. Entomol."
"Journal of Applied Geochemistry","J. Appl. Geochem."
"Journal of Applied Geophysics","J. Appl. Geophys."
"Journal of Applied Glycoscience","J. Appl. Glycosci."
"Journal of Applied Mathematics","J. Appl. Math."
"Journal of Applied Mathematics and Computing","J. Appl. Math. Comput."
"Journal of Applied Mathematics and Mechanics","J. Appl. Math. Mech."
"Journal of Applied Mechanics","J. Appl. Mech."
"Journal of Applied Mechanics and Technical Physics","J. Appl. Mech. Tech. Phys."
"Journal of Applied Meteorology","J. Appl. Meteorol."
"Journal of Applied Microbiology","J. Appl. Microbiol."
"Journal of Applied Nutrition","J. Appl. Nutr."
"Journal of Applied Phycology","J. Appl. Phycol."
"Journal of Applied Physics","J. Appl. Phys."
"Journal of Applied Polymer Science","J. Appl. Polym. Sci."
"Journal of Applied Poultry Research","J. Appl. Poult. Res."
"Journal of Applied Remote Sensing","J. Appl. Remote Sens."
"Journal of Applied Spectroscopy","J. Appl. Spectrosc."
"Journal of Applied Systems Analysis","J. Appl. Syst. Anal."
"Journal of Applied Toxicology","J. Appl. Toxicol."
"Journal of Applied and Industrial Mathematics","J. Appl. Ind. Math."
"Journal of Aquatic Food Product Technology","J. Aquat. Food Prod. Technol."
"Journal of Archaeological Science","J. Archaeol. Sci."
"Journal of Architectural Engineering","J. Archit. Eng."
"Journal of Arid Environments","J. Arid. Environ."
"Journal of Asia-Pacific Entomology","J. Asia-Pac. Entomol."
"Journal of Asian Earth Sciences","J. Asian Earth Sci."
"Journal of Asian Natural Products Research","J. Asian Nat. Prod. Res."
"Journal of Astronautical Sciences","J. Astronaut. Sci."
"Journal of Astrophysics and Astronomy","J. Astrophys. Astron."
"Journal of Atmospheric Chemistry","J. Atmos. Chem."
"Journal of Atmospheric Science","J. Atmos. Sci."
"Journal of Atmospheric and Oceanic Technology","J. Atmos. Oceanic Technol."
"Journal of Atmospheric and Solar-Terrestrial Physics","J. Atmos. Sol. Terr. Phys."
"Journal of Atmospheric and Terrestrial Physics","J. Atmos. Terr. Phys."
"Journal of Automated Methods & Management in Chemistry","J. Autom. Methods Manage. Chem."
"Journal of Automatic Chemistry","J. Autom. Chem."
"Journal of Bacteriology","J. Bacteriol."
"Journal of Bioactive and Compatable Polymers","J. Bioact. Compat. Polym."
"Journal of Biobased Materials and Bioenergy","J. Biobased Mater. Bioenergy"
"Journal of Biochemical and Biophysical Methods","J. Biochem. Bioph. Methods"
"Journal of Biochemical and Molecular Toxicology","J. Biochem. Mol. Toxicol."
"Journal of Biochemistry","J. Biochem."
"Journal of Bioenergetics and Biomembranes","J. Bioenerg. Biomembr."
"Journal of Bioengineering","J. Bioeng."
"Journal of Biological Chemistry","J. Biol. Chem."
"Journal of Biological Dynamics","J. Biol. Dyn."
"Journal of Biological Inorganic Chemistry","J. Biol. Inorg. Chem."
"Journal of Biological Physics","J. Biol. Phys."
"Journal of Bioluminescence and Chemiluminescence","J. Biolumin. Chemilumin."
"Journal of Biomaterials Applications","J. Biomater. Appl."
"Journal of Biomaterials Science Polymer Edition","J. Biomater. Sci., Polym. Ed."
"Journal of Biomechanical Engineering","J. Biomech. Eng."
"Journal of Biomechanics","J. Biomech."
"Journal of Biomedial Materials Research","J. Biomed. Mater. Res."
"Journal of Biomedial Materials Research Part A","J. Biomed. Mater. Res. Part A"
"Journal of Biomedial Materials Research Part B Applied Biomaterials","J. Biomed. Mater. Res. Part B"
"Journal of Biomedial Optics","J. Biomed. Opt."
"Journal of Biomedical Discovery and Collaboration","J. Biomed. Discovery Collab."
"Journal of Biomedical Engineering","J. Biomed. Eng."
"Journal of Biomedical Science and Engineering","J. Biomed. Sci. Eng."
"Journal of Biomedicine and Biotechnology","J. Biomed. Biotechnol."
"Journal of Biomimetics Biomaterials and Tissue Engineering","J. Biomimetics Biomater. Tissue Eng."
"Journal of Biomolecular NMR","J. Biomol. NMR"
"Journal of Biomolecular Screening","J. Biomol. Screening"
"Journal of Biomolecular Structure and Dynamics","J. Biomol. Struct. Dyn."
"Journal of Bionic Engineering","J. Bionic Eng."
"Journal of Biopharmaceutical Statistics","J. Pharm. Stat."
"Journal of Biophotonics","J. Biophotonics"
"Journal of Biorheology","J. Biorheol."
"Journal of Bioscience and Bioengineering","J. Biosci. Bioeng."
"Journal of Biotechnology","J. Biotechnol."
"Journal of Bone and Mineral Metabolism","J. Bone Miner. Metab."
"Journal of Bone and Mineral Research","J. Bone Miner. Res."
"Journal of Breath Research","J. Breath Res."
"Journal of Bridge Engineering","J. Bridge Eng."
"Journal of Building Performance Simulation","J. Build. Perform. Simul."
"Journal of Building Physics","J. Build. Phys."
"Journal of Canadian Petroleum Technology","J. Can. Pet. Technol."
"Journal of Cancer Molecules","J. Cancer Mol."
"Journal of Carbohydrate Chemistry","J. Carbohydr. Chem."
"Journal of Cardiovascular Pharmacology","J. Cardiovasc. Pharmacol."
"Journal of Catalysis","J. Catal."
"Journal of Cell Biology","J. Cell Biol."
"Journal of Cell Science","J. Cell Sci."
"Journal of Cellular Biochemistry","J. Cell. Biochem."
"Journal of Cellular Physiology","J. Cell. Physiol."
"Journal of Cellular Plastics","J. Cell. Plast."
"Journal of Cereal Science","J. Cereal Sci."
"Journal of Chemical Crystallography","J. Chem. Crystallogr."
"Journal of Chemical Documentation","J. Chem. Doc."
"Journal of Chemical Ecology","J. Chem. Ecol."
"Journal of Chemical Education","J. Chem. Educ."
"Journal of Chemical Engineering of Japan","J. Chem. Eng. Jpn."
"Journal of Chemical Heath and Safetyu","J. Chem. Health Saf."
"Journal of Chemical Information and Computer Science","J. Chem. Inf. Comput. Sci."
"Journal of Chemical Information and Modeling","J. Chem. Inf. Model."
"Journal of Chemical Metrology","J. Chem. Metrol."
"Journal of Chemical Neuroanatomy","J. Chem. Neuroanat."
"Journal of Chemical Physics","J. Chem. Phys."
"Journal of Chemical Research Synopsis","J. Chem. Res., Synop ."
"Journal of Chemical Sciences","J. Chem. Sci."
"Journal of Chemical Software","J. Chem. Software"
"Journal of Chemical Technology and Biotechnology","J. Chem. Technol. Biotechnol."
"Journal of Chemical Theory and Computation","J. Chem. Theory Comput."
"Journal of Chemical Thermodynamics","J. Chem. Thermodyn."
"Journal of Chemical and Engineering Data","J. Chem. Eng. Data"
"Journal of Chemometrics","J. Chemom."
"Journal of Chromatographic Science","J. Chromatogr. Sci."
"Journal of Chromatography","J. Chromatogr."
"Journal of Chromatography A","J. Chromatogr. A"
"Journal of Chromatography B","J. Chromatogr. B"
"Journal of Cleaner Production","J. Cleaner Prod."
"Journal of Clinical Chemistry and Clinical Biochemistry","J. Clin. Chem. Clin. Biochem."
"Journal of Clinical Endocrinology and Metabolism","J. Clin. Endocrinol. Metab."
"Journal of Clinical Forensic Medicine","J. Clin. Forensic Med."
"Journal of Clinical Laboratory Analysis","J. Clin. Lab. Anal."
"Journal of Clinical Microbiology","J. Clin. Microbiol."
"Journal of Clinical Ultrasound","J. Clin. Ultrasound"
"Journal of Cluster Science","J. Cluster Sci."
"Journal of Coal Science and Engineering","J. Coal Sci. Eng."
"Journal of Coatings Technology","J. Coat. Technol."
"Journal of Coatings Technology and Research","J. Coat. Technol. Res."
"Journal of Cold Regions Engineering","J. Cold Reg. Eng."
"Journal of Colloid and Interface Science","J. Colloid Interface Sci."
"Journal of Combinatorial Chemistry","J. Comb. Chem."
"Journal of Combinatorial Designs","J. Comb. Des."
"Journal of Commodity Science, Technology and Quality","J. Commod. Sci. Technol. Qual."
"Journal of Communications Technology and Electronics","J. Commun. Technol. Electron."
"Journal of Composite Materials","J. Compos. Mater."
"Journal of Composites Technology and Research","J. Compos. Tech. Res."
"Journal of Composites for Construction","J. Compos. Constr."
"Journal of Computational Acoustics","J. Comput. Acoust."
"Journal of Computational Chemistry","J. Comput. Chem."
"Journal of Computational Electronics","J. Comput. Electron."
"Journal of Computational Methods in Science and Engineering","J. Comput. Methods Sci. Eng."
"Journal of Computational Physics","J. Comput. Phys."
"Journal of Computational and Applied Mathematics","J. Comput. Appl. Math."
"Journal of Computational and Nonlinear Dynamics","J. Comput. Nonlinear Dyn."
"Journal of Computer Chemistry, Japan","J. COmput. Chem. Jpn."
"Journal of Computer and System Sciences International","J. Comput. Syst. Sci. Int."
"Journal of Computer-Aided Materials Design","J. Comput.-Aided Mater. Des."
"Journal of Computer-Aided Molecular Design","J. Comput.-Aided Mol. Des."
"Journal of Computing and Information Science in Engineering","J. Comput. Inf. Sci. Eng."
"Journal of Computing in Civil Engineering","J. Comput. Civil Eng."
"Journal of Construction Engineering Management","J. Constr. Eng. Manage."
"Journal of Constructional Steel Research","J. Constr. Steel Res."
"Journal of Contaminant Hydrology","J. Contam. Hydrol."
"Journal of Contemporary Physics","J. Contemp. Phys."
"Journal of Controlled Release","J. Controlled Release"
"Journal of Coordination Chemistry","J. Coord. Chem."
"Journal of Corrosion Science and Engineering","J. Corros. Sci. Eng."
"Journal of Cosmetic Science","J. Cosmet. Sci."
"Journal of Cosmology and Astroparticle Physics","J. Cosmol. Astropart. Phys."
"Journal of Crash Prevention and Injury Control","J. Crash Prev. Inj. Control"
"Journal of Crop Science and Biotechnology","J. Crop Sci. Biotechnol."
"Journal of Crystal Growth","J. Cryst. Growth"
"Journal of Dairy Research","J. Dairy Res."
"Journal of Dairy Science","J. Dairy Sci."
"Journal of Dental Research","J. Dent. Res."
"Journal of Diagnostic Radiography and Imaging","J. Diagn. Radiogr. Imaging"
"Journal of Dispersion Science and Technology","J. Dispersion Sci. Technol."
"Journal of Drug Delivery Science and Technology","J. Drug Delivery Sci. Technol."
"Journal of Drug Targeting","J. Drug Targeting"
"Journal of Dynamic Systems, Measurement, and Control","J. Dyn. Syst. Meas. Contr."
"Journal of Earth Science","J. Earth Sci."
"Journal of Earth System Science","J. Earth Syst. Sci."
"Journal of Earthquake Engineering","J. Earthquake Eng."
"Journal of Economic Entomology","J. Econ. Entomol."
"Journal of Elasticity","J. Elast."
"Journal of Elastomers and Plastics","J. Elastomers Plast."
"Journal of Electroanalytical Chemistry","J. Electroanal. Chem."
"Journal of Electroanalytical Chemistry and Interfacial Electrochemistry","J. Electroanal. Chem. Interfacial Electrochem."
"Journal of Electroceramics","J. Electroceram."
"Journal of Electromagnetic Analysis and Applications","J. Electromagn. Anal. Appl."
"Journal of Electron Microscopy","J. Electron Microsc."
"Journal of Electron Spectroscopy and Related Phenomena","J. Electron. Spectrosc. Relat. Phenom."
"Journal of Electronic Imaging","J. Electron. Imaging"
"Journal of Electronic Materials","J. Electron. Mater."
"Journal of Electronic Packaging","J. Electron. Packag."
"Journal of Electronic Testing","J. Electron. Test."
"Journal of Electronics (China)","J. Electron."
"Journal of Electrostatics","J. Electrostat."
"Journal of Endocrinology","J. Endocrinol."
"Journal of Endotoxin Research","J. Endotoxin Res."
"Journal of Energetic Materials","J. Energetic Mater."
"Journal of Energy Engineering","J. Energy Eng."
"Journal of Energy Resources Technology","J. Energy Res. Technol."
"Journal of Engineered Fibers and Fabrics","J. Eng. Fibers Fabr."
"Journal of Engineering Design","J. Eng. Des."
"Journal of Engineering Materials and Technology","J. Eng. Mater. Technol."
"Journal of Engineering Mathematics","J. Eng. Math."
"Journal of Engineering Mechanics","J. Eng. Mech."
"Journal of Engineering Physics and Thermophysics","J. Eng. Phys. Thermophys."
"Journal of Engineering Thermophysics","J. Eng. Thermophys."
"Journal of Engineering and Technology Management","J. Eng. Tech. Manage."
"Journal of Engineering for Gas Turbines and Power","J. Eng. Gas Turbines Power"
"Journal of Environmental Biology","J. Environ. Biol."
"Journal of Environmental Engineering","J. Environ. Eng."
"Journal of Environmental Engineering and Science","J. Environ. Eng. Sci."
"Journal of Environmental Health","J. Environ. Health"
"Journal of Environmental Management","J. Environ. Manage."
"Journal of Environmental Monitoring","J. Environ. Monit."
"Journal of Environmental Pathology and Toxicology","J. Environ. Pathol. Toxicol."
"Journal of Environmental Pathology, Toxicology and Oncology","J. Environ. Pathol. Toxicol. Oncol."
"Journal of Environmental Planning and Management","J. Environ. Plann. Manage."
"Journal of Environmental Policy & Planning","J. Environ. Plann. Policy Manage."
"Journal of Environmental Protection and Ecology","J. Environ. Prot. Ecol."
"Journal of Environmental Quality","J. Environ. Qual."
"Journal of Environmental Radioactivity","J. Environ. Radioact."
"Journal of Environmental Science and Health, Part A Environmental Science","J. Environ. Sci. Health. A"
