"$K$-Monographs in Mathematics","$K$-Monogr. Math."
"Ohio State University Mathematical Research Institute Publications","Ohio State Univ. Math. Res. Inst. Publ."
"Operations Research","Oper. Res."
"Operations Research Letters","Oper. Res. Lett."
"Operations Research/Computer Science Interfaces Series","Oper. Res./Comput. Sci. Interfaces Ser."
"Operator Theory: Advances and Applications","Oper. Theory Adv. Appl."
"Opsearch","Opsearch"
"\cyr Optimizatsiya i Issledovanie Operatsiy","Optim. Issled. Oper."
"Optimization Methods and Software","Optim. Methods Softw."
"Optimal Control Applications & Methods","Optimal Control Appl. Methods"
"Optimization","Optimization"
"Rossíiskaya Akademiya Nauk","Optimizatsiya"
"Opuscula Mathematica","Opuscula Math."
"Order","Order"
"Osaka Journal of Mathematics","Osaka J. Math."
"Osiris","Osiris (2)"
"Osnabrücker Studien zur Mathematik","Osnabrück. Stud. Math."
"Akademiya Nauk Ukrainy","Otbor i Obrabotka Informatsii"
"Oxford Classic Texts in the Physical Sciences","Oxf. Class. Texts Phys. Sci."
"Oxford Graduate Texts in Mathematics","Oxf. Grad. Texts Math."
"Oxford Readings in Philosophy","Oxf. Read. Philos."
"Oxford Applied Mathematics and Computing Science Series","Oxford Appl. Math. Comput. Sci. Ser."
"Oxford Engineering Science Series","Oxford Eng. Sci. Ser."
"Oxford Lecture Series in Mathematics and its Applications","Oxford Lecture Ser. Math. Appl."
"Oxford Logic Guides","Oxford Logic Guides"
"Oxford Mathematical Monographs","Oxford Math. Monogr."
"Oxford Science Publications","Oxford Sci. Publ."
"Oxford Statistical Science Series","Oxford Statist. Sci. Ser."
"Oxford Studies in Probability","Oxford Stud. Probab."
"Pachart History of Astronomy Series","Pachart Hist. Astronom. Ser."
"Pacific Journal of Mathematics","Pacific J. Math."
"Paideia Studies in <EM>Philosophia Mathematica </EM> ""at Large""","Paideia Stud. Philos. Math. at Large"
"Pakistan Journal of Statistics","Pakistan J. Statist."
"The Pamphlets of Lewis Carroll","Pam. Lewis Carroll"
"Panamerican Mathematical Journal","Panamer. Math. J."
"Panoramas et Synthèses","Panor. Synthèses"
"Parallel Algorithms and Applications","Parallel Algorithms Appl."
"Parallel Computing","Parallel Comput."
"Parallel Processing Letters","Parallel Process. Lett."
"Parisankhyan Samikkha","Parisankhyan Samikkha"
"Periodica Mathematica Hungarica","Period. Math. Hungar."
"Periodica Polytechnica","Period. Polytech. Mech. Eng."
"Perspectives in Mathematics","Perspect. Math."
"Perspectives in Mathematical Logic","Perspect. Math. Logic"
"Perspectives in Neural Computing","Perspect. Neural Comput."
"Perspectives on Science","Perspect. Sci."
"Philips Journal of Research","Philips J. Res."
"Philosophische Abhandlungen","Philos. Abhandlungen"
"Philosophia Antiqua","Philos. Antiq."
"Philosophische Bibliothek","Philos. Bibliothek"
"Philosophia Mathematica","Philos. Math. (3)"
"Philosophia Naturalis","Philos. Natur."
"Philosophical Perspectives","Philos. Perspect."
"The Philosophical Quarterly","Philos. Quart."
"Philosophy of Science","Philos. Sci."
"Philosophical Studies","Philos. Stud."
"Philosophical Transactions of the Royal Society of London","Philos. Trans. Roy. Soc. London"
"Philosophica","Philosophica"
"Philosophies","Philosophies"
"Physica A","Phys. A"
"Physics of Atomic Nuclei","Phys. Atomic Nuclei"
"Physics of Atoms and Molecules","Phys. Atoms and Molecules"
"Physica D","Phys. D"
"Physics Essays","Phys. Essays"
"Physics of Fluids","Phys. Fluids"
"Physics Letters","Phys. Lett. A"
"Physics Letters","Phys. Lett. B"
"Physics Notes","Phys. Notes"
"Physics of Particles and Nuclei","Phys. Particles Nuclei"
"Physics of Plasmas","Phys. Plasmas"
"Physics Reports","Phys. Rep."
"Physics Reports of Kumamoto University","Phys. Rep. Kumamoto Univ."
"Physical Review A","Phys. Rev. A"
"Physical Review D","Phys. Rev. D"
"Physical Review E","Phys. Rev. E"
"Physical Review Letters","Phys. Rev. Lett."
"Physica Scripta","Phys. Scripta"
"Physis---Rivista Internazionale di Storia della Scienza","Physis Riv. Internaz. Storia Sci. (N.S.)"
"Pis\cprime ma v Zhurnal Èksperimental\cprime noy i Teoreticheskoy Fiziki","Pis\cprime ma Zh. Èksper. Teoret. Fiz."
"Pitman Monographs and Surveys in Pure and Applied Mathematics","Pitman Monogr. Surveys Pure Appl. Math."
"Pitman Research Notes in Mathematics Series","Pitman Res. Notes Math. Ser."
"Plovdivski Universitet ""Paisiy Khilendarski""","Plovdiv. Univ. ""Paisiy Khilendarski"" Nauchn. Trud. Mat."
"Plus de Lumière","Plus Lumière"
"Podiplomski Seminar iz Matematike","Podiplomski Sem. Mat."
"Podstawowe Nauki Techniczne","Podstaw. Nauki Tech. Monogr."
"""Politehnica"" University of Bucharest","Politeh. Univ. Buchar. Sci. Bull. Ser. B Chem. Mater. Sci."
"""Politehnica"" University of Bucharest","Politeh. Univ. Buchar. Sci. Bull. Ser. C Electr. Eng."
"""Politehnica"" University of Bucharest","Politehn. Univ. Bucharest Sci. Bull. Ser. A Appl. Math. Phys."
"""Politehnica"" University of Bucharest","Politehn. Univ. Bucharest Sci. Bull. Ser. D Mech. Eng."
"\cyr V Pomoshch\cprime Abiturientu","Pomoshch\cprime Abitur."
"Pontificae Academiae Scientiarum Scripta Varia","Pontif. Acad. Sci. Scr. Varia"
"Portugaliae Mathematica","Portugal. Math."
"Posebna Izdanja","Posebna Izdan."
"Polskie Towarzystwo Cybernetyczne","Post\polhk epy Cybernet."
"Potential Analysis","Potential Anal."
"Poznań Studies in the Philosophy of the Sciences and the Humanities","Poznań Stud. Philos. Sci. Humanities"
"Prace Naukowe Uniwersytetu Śląskiego w Katowicach","Pr. Nauk. Uniw. Śl. Katow."
"Prace Naukowe Instytutu Cybernetyki Technicznej Politechniki Wrocławskiej","Prace Nauk. Inst. Cybernet. Tech. Politech. Wrocław."
"Politechnika Wrocławska","Prace Nauk. Inst. Cybernet. Tech. Politech. Wrocław. Ser. Monograf."
"Wrocław","Prace Nauk. Inst. Mat. Politech. Wrocław. Ser. Monograf."
"Prentice Hall Information and System Sciences Series","Prentice Hall Inform. System Sci. Ser."
"Prentice Hall International Series in Computer Science","Prentice Hall Int. Ser. Comput. Sci."
"Prentice Hall International Series in Industrial and Systems Engineering","Prentice Hall Int. Ser. Indust. Systems Eng."
"Prentice Hall Series on Environmental and Intelligent Manufacturing Systems","Prentice Hall Ser. Environ. Intell. Manuf. Syst."
"Preprint","Preprint"
"Rossíiskaya Akademiya Nauk","Prikl. Mat. Mekh."
"\cyr Prikladnye Matematicheskie Modeli","Prikl. Mat. Model."
"Gor\cprime kovskiy Gosudarstvennyy Universitet imeni N","Prikl. Problemy Proch. i Plast."
"Princeton Landmarks in Mathematics","Princeton Landmarks Math."
"Princeton Landmarks in Physics","Princeton Landmarks Phys."
"Princeton Mathematical Series","Princeton Math. Ser."
"Princeton Paperbacks","Princeton Paperbacks"
"Princeton Science Library","Princeton Sci. Lib."
"Princeton Series in Astrophysics","Princeton Ser. Astrophys."
"Princeton Series in Computer Science","Princeton Ser. Comput. Sci."
"Princeton Series in Physics","Princeton Ser. Phys."
"Prirodno-Matematichki Fakultet na Univerzitetot ""Sv","Prirod.-Mat. Fak. Univ. Kiril Metodij Skopje Godishen Zb."
"Priroda","Priroda"
"Probability and its Applications","Probab. Appl."
"Probability in the Engineering and Informational Sciences","Probab. Eng. Inform. Sci."
"Probability and Mathematical Statistics","Probab. Math. Statist."
"Probability and Stochastics Series","Probab. Stochastics Ser."
"Probability Theory and Related Fields","Probab. Theory Related Fields"
"Problèmes de Mathématiques","Probl. Math. Écrit CAPES 1991--1996"
"Problem Books in Mathematics","Problem Books in Math."
"Problemi na Tekhnicheskata Kibernetika i Robotikata","Problemi Tekhn. Kibernet. Robot."
"Problems of Information Transmission","Problems Inform. Transmission"
"Problemy Teorii Gravitatsii i Èlementarnykh Chastits","Problemy Teor. Gravitatsii i Element. Chastits"
"Problemy Yadernoy Fiziki i Kosmicheskikh Luchey","Problemy Yadern. Fiz. i Kosm. Luchey"
"Georgian Academy of Sciences","Proc. A. Razmadze Math. Inst."
"Proceedings of the American Mathematical Society","Proc. Amer. Math. Soc."
"Proceedings of the Centre for Mathematics and its Applications, Australian National University","Proc. Centre Math. Appl. Austral. Nat. Univ."
"Proceedings of the Edinburgh Mathematical Society","Proc. Edinburgh Math. Soc. (2)"
"Proceedings of the Estonian Academy of Sciences","Proc. Est. Acad. Sci. Eng."
"Estonian Academy of Sciences","Proc. Estonian Acad. Sci. Phys. Math."
"Indian Academy of Sciences","Proc. Indian Acad. Sci. Math. Sci."
"Proceedings of the Indian National Science Academy","Proc. Indian Nat. Sci. Acad."
"The Proceedings of the Institute of Statistical Mathematics","Proc. Inst. Statist. Math."
"Proceedings of the International School of Physics ""Enrico Fermi""","Proc. Int. School Phys. Enrico Fermi"
"Koninklijke Nederlandse Akademie van Wetenschappen","Proc. Konink. Nederl. Akad. Wetensch."
"Proceedings of the London Mathematical Society","Proc. London Math. Soc. (3)"
"Proceedings of the Mathematical and Physical Society of Egypt","Proc. Math. Phys. Soc. Egypt"
"Proceedings of the Mathematical Society","Proc. Math. Soc."
"Proceedings of the National Academy of Sciences, India","Proc. Nat. Acad. Sci. India"
"Proceedings of the National Academy of Sciences of the United States of America","Proc. Nat. Acad. Sci. U.S.A."
"Proceedings of the National Academy of Sciences of the United States of America","Proc. Natl. Acad. Sci. USA"
"Proceedings of the Pakistan Academy of Sciences","Proc. Pakistan Acad. Sci."
"Proceedings of the Royal Irish Academy","Proc. Roy. Irish Acad."
"Proceedings of the Royal Society of Edinburgh","Proc. Roy. Soc. Edinburgh"
"Proceedings of the Royal Society","Proc. Roy. Soc. London"
"Proceedings of the School of Science of Tokai University","Proc. Sch. Sci. Tokai Univ."
"Proceedings of the School of Science of Tokai University","Proc. School Sci. Tokai Univ."
"Proceedings of the Steklov Institute of Mathematics","Proc. Steklov Inst. Math."
"Proceedings of Symposia in Applied Mathematics","Proc. Sympos. Appl. Math."
"Proceedings of Symposia in Pure Mathematics","Proc. Sympos. Pure Math."
"Progress in Computer Science and Applied Logic","Progr. Comput. Sci. Appl. Logic"
"Progress in Mathematics","Progr. Math."
"Progress of Mathematics","Progr. Math. (Varanasi)"
"Progress in Natural Science","Progr. Natur. Sci. (English Ed.)"
"Progress in Nonlinear Differential Equations and their Applications","Progr. Nonlinear Differential Equations Appl."
"Progress in Physics","Progr. Phys."
"Progress in Probability","Progr. Probab."
"Progress in Pure and Applied Discrete Mathematics","Progr. Pure Appl. Discrete Math."
"Progress in Systems and Control Theory","Progr. Systems Control Theory"
"Progress in Theoretical Computer Science","Progr. Theoret. Comput. Sci."
"Progress of Theoretical Physics","Progr. Theoret. Phys."
"Progress of Theoretical Physics","Progr. Theoret. Phys. Suppl."
"Proyecciones","Proyecciones"
"Prépublications de l'Institut de Recherche Mathématique Avancée","Prépubl. Inst. Rech. Math. Av."
"Pubblicazioni dell'Università di Ferrara","Pubbl. Univ. Ferrara"
"Publications du Centre de Recherches en Mathématiques Pures, Séries I","Publ. Cent. Rech. Math. Pures Sér. I"
"Publications du Centre de Recherches en Mathématiques Pures, Série II","Publ. Centre Rech. Math. Pures Sér. II"
"Publicaciones del Departamento de Matemáticas, Universidad de Extremadura","Publ. Dep. Mat. Univ. Extremadura"
"Publications of the Faculty of Electrical Engineering","Publ. Fac. Electr. Eng. Ser. Automat. Control"
"Publikationen des Henri-Poincaré-Archivs","Publ. Henri-Poincaré-Arch."
"Publications of the HoChiMinh City Mathematical Society","Publ. HoChiMinh City Math. Soc."
"Institut Mathématique","Publ. Inst. Math. (Beograd) (N.S.)"
"Publication de l'Institut de Recherche Mathématique Avancée","Publ. Inst. Rech. Math. Av."
"Publications de l'Institut de Recherche Mathématique de Rennes","Publ. Inst. Rech. Math. Rennes"
"Publications of the International Research Center, Salzburg, Austria","Publ. Int. Res. Cent. Salzbg. Austria"
"Publicacions Matemàtiques","Publ. Mat."
"Publicaciones Matemáticas del Uruguay","Publ. Mat. Urug."
"Universitatis Debreceniensis","Publ. Math. Debrecen"
"Publications Mathématiques de la Faculté des Sciences de Besançon","Publ. Math. Fac. Sci. Besançon"
"Publications Mathématiques d'Orsay","Publ. Math. Orsay"
"Publications Mathématiques de l'Université Paris 7---Denis Diderot","Publ. Math. Univ. Paris 7---Denis Diderot"
"Publications Mathématiques de l'Université Pierre et Marie Curie","Publ. Math. Univ. Pierre et Marie Curie"
"Publications of the Newton Institute","Publ. Newton Inst."
"Kyoto University","Publ. Res. Inst. Math. Sci."
"The Punjab University","Punjab Univ. J. Math. (Lahore)"
"Pure and Applied Mathematics","Pure Appl. Math."
"Pure and Applied Mathematika Sciences","Pure Appl. Math. Sci."
"Pure Mathematics and Applications","Pure Math. Appl."
"Pure Mathematics Manuscript","Pure Math. Manuscript"
"QMW Maths Notes","QMW Maths Notes"
"Qatar University Science Journal","Qatar Univ. Sci. J."
"Quaderni dell' Accademia Pontaniana","Quad. Accad. Pontaniana"
"Quaderni","Quad. Accad. Sci. Torino"
"Quaderni di Matematica","Quad. Mat."
"Quaderni di Ricerca in Didattica","Quad. Ric. Didatt."
"Quaestiones Mathematicae","Quaestiones Math."
"Quantum","Quantum"
"Quantum and Semiclassical Optics","Quantum Semiclass. Optics"
"Quarterly of Applied Mathematics","Quart. Appl. Math."
"The Quarterly Journal of Mathematics","Quart. J. Math. Oxford Ser. (2)"
"The Quarterly Journal of Mechanics and Applied Mathematics","Quart. J. Mech. Appl. Math."
"Quasigroups and Related Systems","Quasigroups Related Systems"
"Que Sais-Je?","Que Sais-Je?"
"Queen's Papers in Pure and Applied Mathematics","Queen's Papers in Pure and Appl. Math."
"Questions and Answers in General Topology","Questions Answers Gen. Topology"
"Queueing Systems","Queueing Systems Theory Appl."
"Qufu Shifan Daxue Xuebao","Qufu Shifan Daxue Xuebao Ziran Kexue Ban"
"Qüestiió","Qüestiió (2)"
"The Royal Society of London","R. Soc. Lond. Philos. Trans. Ser. A Math. Phys. Eng. Sci."
"The Royal Society of London","R. Soc. Lond. Proc. Ser. A Math. Phys. Eng. Sci."
"RAIRO Informatique Théorique et Applications","RAIRO Inform. Théor. Appl."
"RAIRO Modélisation Mathématique et Analyse Numérique","RAIRO Modél. Math. Anal. Numér."
"RAIRO Recherche Opérationnelle","RAIRO Rech. Opér."
"RIM Monographs in Mathematics","RIM Monogr. Math."
"Rossíiskaya Akademiya Nauk","RZhMat"
"Race, Gender, and Science","Race Gend. Sci."
"Rad Hrvatske Akademije Znanosti i Umjetnosti","Rad Hrvatske Akad. Znan. Umjet."
"Radovi Matematički","Rad. Mat."
"Radiophysics and Quantum Electronics","Radiophys. and Quantum Electronics"
"Radiotekhnika","Radiotekhnika"
"The Ramanujan Journal","Ramanujan J."
"Random & Computational Dynamics","Random Comput. Dynam."
"Random Operators and Stochastic Equations","Random Oper. Stochastic Equations"
"Random Structures & Algorithms","Random Structures Algorithms"
"Ratio (New Series)","Ratio (N.S.)"
"Readings in Mathematics","Read. Math."
"Readings in Philosophy","Read. Philos."
"Real Analysis Exchange","Real Anal. Exchange"
"Rebrape","Rebrape"
"Recherches en Mathématiques Appliquées","Rech. Math. Appl."
"Recherches sur la Philosophie et le Langage","Rech. Philos. Lang."
"Regensburger Mathematische Schriften","Regensburger Math. Schriften"
"Regulyarnaya & Khaoticheskaya Dinamika","Regul. Khaoticheskaya Din."
"Reliable Computing","Reliab. Comput."
"Accademia Nazionale delle Scienze detta dei XL","Rend. Accad. Naz. Sci. XL Mem. Mat. Appl. (5)"
"Rendiconti della Accademia Nazionale delle Scienze detta dei XL","Rend. Accad. Naz. Sci. XL Mem. Sci. Fis. Natur. (5)"
"Società Nazionale di Scienze, Lettere e Arti in Napoli","Rend. Accad. Sci. Fis. Mat. Napoli (4)"
"Rendiconti del Circolo Matematico di Palermo","Rend. Circ. Mat. Palermo (2)"
"Rendiconti del Circolo Matematico di Palermo","Rend. Circ. Mat. Palermo (2) Suppl."
"Rendiconti dell'Istituto di Matematica dell'Università di Trieste","Rend. Istit. Mat. Univ. Trieste"
"Rendiconti di Matematica e delle sue Applicazioni","Rend. Mat. Appl. (7)"
"Rendiconti del Seminario della Facoltà di Scienze dell'Università di Cagliari","Rend. Sem. Fac. Sci. Univ. Cagliari"
"Rendiconti del Seminario Matematico e Fisico di Milano","Rend. Sem. Mat. Fis. Milano"
"Rendiconti del Seminario Matematico di Messina","Rend. Sem. Mat. Messina Ser. II"
"Rendiconti del Seminario Matematico della Università di Padova","Rend. Sem. Mat. Univ. Padova"
"Università e Politecnico di Torino","Rend. Sem. Mat. Univ. Politec. Torino"
"Kanagawa University","Rep. Fac. Eng. Kanagawa Univ."
"Oita University","Rep. Fac. Eng. Oita Univ."
"Reports of the Faculty of Science and Engineering","Rep. Fac. Sci. Eng. Saga Univ. Math."
"Reports of the Faculty of Science","Rep. Fac. Sci. Kagoshima Univ."
"Reports of the Faculty of Science","Rep. Fac. Sci. Kagoshima Univ. Math. Phys. Chem."
"Reports of the Faculty of Science","Rep. Fac. Sci. Shizuoka Univ."
"Reports of the Faculty of Science and Technology","Rep. Fac. Sci. Technol. Meijo Univ."
"Reports on Mathematical Logic","Rep. Math. Logic"
"Reports on Mathematical Physics","Rep. Math. Phys."
"Reports on Progress in Physics","Rep. Progr. Phys."
"Report Series in Theoretical Physics","Rep. Ser. Theoret. Phys."
"Reports of Statistical Application Research","Rep. Statist. Appl. Res. Un. Japan. Sci. Engrs."
"Report","Report"
"Representation and Mind","Represent. Mind"
"Representation Theory","Represent. Theory"
"República de Venezuela","Repúb. Venezuela Bol. Acad. Cienc. Fís. Mat. Natur."
"Research Activities","Res. Act. Fac. Sci. Eng. Tokyo Denki Univ."
"The Research Bulletin of the Faculty of Education","Res. Bull. Fac. Ed. Oita Univ."
"Research Bulletin of the Panjab University","Res. Bull. Panjab Univ. Sci."
"Research and Exposition in Mathematics","Res. Exp. Math."
"Research in Mathematics","Res. Math."
"Research---Measurement---Approval","Res. Meas. Approv."
"Research Notes in Mathematics","Res. Notes Math."
"Research Reports of the Anan College of Technology","Res. Rep. Anan College Tech."
"Research Reports on Information Sciences","Res. Rep. Inf. Sci."
"Miyagi National College of Technology","Res. Rep. Miyagi Nat. College Tech."
"Research Trends in Physics","Res. Trends Phys."
"Resenhas do Instituto de Matemática e Estatística da Universidade de São Paulo","Resenhas"
"Results in Mathematics","Results Math."
"Revista de la Academia Canaria de Ciencias","Rev. Acad. Canaria Cienc."
"Revista de la Academia de Ciencias Exactas, Físicas Químicas y Naturales de Zaragoza","Rev. Acad. Cienc. Zaragoza (2)"
"Academia Colombiana de Ciencias Exactas, Físicas y Naturales","Rev. Acad. Colombiana Cienc. Exact. Fís. Natur."
"Revue d'Analyse Numérique et de Théorie de l'Approximation","Rev. Anal. Numér. Théor. Approx."
"Calcutta Mathematical Society","Rev. Bull. Calcutta Math. Soc."
"Revista Colombiana Estadística","Rev. Colombiana Estadíst."
"Revista Colombiana de Matemáticas","Rev. Colombiana Mat."
"Review of Economic Studies","Rev. Econom. Stud."
"Revue Européenne des Éléments Finis","Rev. Européenne Élém. Finis"
"Revue d'Histoire des Mathématiques","Rev. Histoire Math."
"Revue d'Histoire des Sciences","Rev. Histoire Sci."
"Revista Integración","Rev. Integr. Temas Mat."
"Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería","Rev. Internac. Métod. Numér. Cálc. Diseñ. Ingr."
"Revista de Matemáticas Aplicadas","Rev. Mat. Apl."
"Revista Matemática Complutense","Rev. Mat. Complut."
"Revista de Matemática e Estatística","Rev. Mat. Estatíst."
"Revista Matemática Iberoamericana","Rev. Mat. Iberoamericana"
"Revista Matemática de la Universidad Complutense de Madrid","Rev. Mat. Univ. Complut. Madrid"
"Reviews in Mathematical Physics","Rev. Math. Phys."
"Revista Mexicana de Física","Rev. Mexicana Fís."
"Reviews of Modern Physics","Rev. Modern Phys."
"Revue des Questions Scientifiques","Rev. Questions Sci."
"Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales (España)","Rev. R. Acad. Cienc. Exactas Fís. Nat. (Esp.)"
"Real Academia de Ciencias Exactas, Físicas y Naturales de Madrid","Rev. Real Acad. Cienc. Exact. Fís. Natur. Madrid"
"Revue Roumaine de Mathématiques Pures et Appliquées","Rev. Roumaine Math. Pures Appl."
"Revue Roumaine des Sciences Techniques","Rev. Roumaine Sci. Tech. Sér. Méc. Appl."
"Revue Roumaine des Sciences Techniques","Rev. Roumaine Sci. Tech. Sér. Électrotech. Énergét."
"Universidad del Zulia","Rev. Técn. Fac. Ingr. Univ. Zulia"
"Revista de la Unión Matemática Argentina","Rev. Un. Mat. Argentina"
"Revealing Antiquity","Reveal. Antiq."
"Riazi","Riazi J. Karachi Math. Assoc."
"Ricerche di Matematica","Ricerche Mat."
"Rivista di Matematica Pura ed Applicata","Riv. Mat. Pura Appl."
"Rivista di Matematica per le Scienze Economiche e Sociali","Riv. Mat. Sci. Econom. Social."
"Rivista di Matematica della Università di Parma","Riv. Mat. Univ. Parma (5)"
"La Rivista del Nuovo Cimento","Riv. Nuovo Cimento (3)"
"La Rivista del Nuovo Cimento della Società Italiana di Fisica","Riv. Nuovo Cimento Soc. Ital. Fis. (4)"
"Rivista di Storia della Scienza","Riv. Stor. Sci. (2)"
"The Rocky Mountain Journal of Mathematics","Rocky Mountain J. Math."
"Wyższa Szkoła Pedagogiczna im. Komisji Edukacji Narodowej w Krakowie. Rocznik Naukowo-Dydaktyczny. Prace Matematyczne","Rocznik Nauk.-Dydakt. Prace Mat."
"Rolf Nevanlinna Institute Research Reports A","Rolf Nevanlinna Inst. Res. Rep. A"
"Romanian Journal of Physics","Romanian J. Phys."
"Romanian Reports in Physics","Romanian Rep. Phys."
"Rostocker Mathematisches Kolloquium","Rostock. Math. Kolloq."
"Royal Institute of Philosophy Supplement","Roy. Inst. Philos. Suppl."
"Royal Statistical Society Lecture Note Series","Roy. Statist. Soc. Lecture Note Ser."
"Rozprawy Monografie","Rozpr. Monogr."
"Politechnika Poznańska","Rozprawy Politech. Poznań"
"Russian Academy of Sciences","Russian Acad. Sci. Izv. Math."
"Russian Journal of Mathematical Physics","Russian J. Math. Phys."
"Russian Journal of Numerical Analysis and Mathematical Modelling","Russian J. Numer. Anal. Math. Modelling"
"Russian Mathematics (Izvestiya VUZ","Russian Math. (Iz. VUZ)"
"Russian Mathematical Surveys","Russian Math. Surveys"
"Russian Physics Journal","Russian Phys. J."
"Ryukyu Mathematical Journal","Ryukyu Math. J."
"SIAM Journal on Applied Mathematics","SIAM J. Appl. Math."
"SIAM Journal on Computing","SIAM J. Comput."
"SIAM Journal on Control and Optimization","SIAM J. Control Optim."
"SIAM Journal on Discrete Mathematics","SIAM J. Discrete Math."
"SIAM Journal on Mathematical Analysis","SIAM J. Math. Anal."
"SIAM Journal on Matrix Analysis and Applications","SIAM J. Matrix Anal. Appl."
"SIAM Journal on Numerical Analysis","SIAM J. Numer. Anal."
"SIAM Journal on Optimization","SIAM J. Optim."
"SIAM Journal on Scientific and Statistical Computing","SIAM J. Sci. Stat. Comput"
"SIAM Journal on Scientific Computing","SIAM J. Sci. Comput."
"SIAM Monographs on Mathematical Modeling and Computation","SIAM Monogr. Math. Model. Comput."
"SIAM Review","SIAM Rev."
"SIAM Studies in Applied Mathematics","SIAM Stud. Appl. Math."
"SINET: Ethiopian Journal of Science","SINET"
"SMF Journée Annuelle","SMF Journ. Annu."
"Statistical Theory and Method Abstracts","STMA"
"SUNY Series in Ancient Greek Philosophy","SUNY Ser. Anc. Greek Philos."
"SUNY Series in Logic and Language","SUNY Ser. Logic Lang."
"SUNY Series, Reform in Mathematics Education","SUNY Ser. Reform Math. Educ."
"SUNY Series in Science, Technology, and Society","SUNY Ser. Sci. Tech. Soc."
"SUT Journal of Mathematics","SUT J. Math."
"Słupskie Prace Matematyczno-Przyrodnicze","Słup. Prace Mat. Przyr. Mat. Fiz."
"Saggi Scientifici","Saggi Sci."
"Saitama Mathematical Journal","Saitama Math. J."
"San Francisco State University Series in Philosophy","San Franc. State Univ. Ser. Philos."
"Santa Fe Institute Studies in the Sciences of Complexity","Santa Fe Inst. Stud. Sci. Complexity Lecture Notes"
"Santa Fe Institute Studies in the Sciences of Complexity","Santa Fe Inst. Stud. Sci. Complexity Proc."
"Savoirs Actuels","Savoirs Actuels"
"Sbornik","Sb. Math."
"Vysoké učení Technické v Brně","Sb. Věd. Odb. Prací"
"Scandinavian Actuarial Journal","Scand. Actuar. J."
"Scandinavian Journal of Statistics","Scand. J. Statist."
"Schriftenreihe des Mathematischen Instituts der Universität Münster, 3","Schriftenreihe Math. Inst. Univ. Münster 3. Ser."
"Schriftenreihe der Pädagogischen Hochschule Heidelberg","Schriftenreihe Pädagog. Hochsch. Heidelberg"
"Schweizerische Aktuarvereinigung","Schweiz. Aktuarver. Mitt."
"Scientific American Library Paperback","Sci. Amer. Lib. Paperback"
"Science Bulletin of the Faculty of Education","Sci. Bull. Fac. Ed. Nagasaki Univ."
"Science Bulletin of Josai University","Sci. Bull. Josai Univ."
"Science in China (Scientia Sinica)","Sci. China Ser. A"
"Science in China (Scientia Sinica)","Sci. China Ser. E"
"Scientific Computation","Sci. Comput."
"Science of Computer Programming","Sci. Comput. Programming"
"Science and its Conceptual Foundations","Sci. Concept. Found."
"Science in Context","Sci. Context"
"Scientia Iranica","Sci. Iran."
"Scienze Matematiche","Sci. Mat."
"Science Networks","Sci. Networks Hist. Stud."
"Les Sciences hors d'Occident au XXe Siècle","Sci. Occident XXe Siècle"
"Science and Philosophy in the Twentieth Century","Sci. Philos. Twent. Century Basic Works Log. Empir."
"Fukushima University","Sci. Rep. Fac. Ed. Fukushima Univ."
"Science Reports of the Faculty of Education","Sci. Rep. Fac. Ed. Gifu Univ. Natur. Sci."
"Science Reports of the Hirosaki University","Sci. Rep. Hirosaki Univ."
"Science Reports of Kagoshima University","Sci. Rep. Kagoshima Univ."
"The Science Reports of the Kanazawa University","Sci. Rep. Kanazawa Univ."
"Kanagawa University","Sci. Rep. Res. Inst. Eng. Kanagawa Univ."
"Science Reports of the Yokohama National University","Sci. Rep. Yokohama Nat. Univ. Sect. I Math. Phys. Chem."
"Sciences et Techniques en Perspective","Sci. Tech. Perspect."
"American Association for the Advancement of Science","Science"
"Scripta","Scripta Comput. Sci. Appl. Math."
"Selected Lectures in Mathematics","Sel. Lectures Math."
"Selected Works of Benoit B","Sel. Works B. B. Mandelbrot"
"Selecta Mathematica","Selecta Math. (N.S.)"
"Seminar on Mathematical Sciences","Sem. Math. Sci."
"Seminar Series in Mathematics","Sem. Ser. Math. Algebra"
"Seminar Series in Mathematics","Sem. Ser. Math. Anal."
"Semigroup Forum","Semigroup Forum"
"Seminarberichte","Seminarberichte"
"Sequential Analysis","Sequential Anal."
"Series on Advances in Mathematics for Applied Sciences","Ser. Adv. Math. Appl. Sci."
"Series on Advances in Statistical Mechanics","Ser. Adv. Statist. Mech."
"Series in Algebra","Ser. Algebra"
"Series on Applied Mathematics","Ser. Appl. Math."
"Series in Approximations and Decompositions","Ser. Approx. Decompos."
"Series in Computational and Physical Processes in Mechanics and Thermal Sciences","Ser. Comput. Phys. Process. Mech. Thermal Sci."
"Series on the Foundations of Natural Science and Technology","Ser. Found. Nat. Sci. Tech."
"Series in Intelligent Control and Intelligent Automation","Ser. Intell. Control Intell. Autom."
"Series on Knots and Everything","Ser. Knots Everything"
"Series in Mathematical Analysis and Applications","Ser. Math. Anal. Appl."
"Series in Mathematical Biology and Medicine","Ser. Math. Biol. Med."
"Series on Multivariate Analysis","Ser. Multivariate Anal."
"Series on New Frontiers in Advanced Mathematics of the Istituto per la Ricerca di Base","Ser. New Front. Adv. Math. Ist. Ric. Base"
"Series in Number Theory","Ser. Number Theory"
