"2D Materials","2D Mater."
"Physica B: Condensed Matter","Phys. B: Condens. Matter"
"Physica B","Phys. B"
"Physica C: Superconductivity and its Applications","Phys. C: Supercond. Its Appl."
"Physica C","Phys. C"
"Physica D: Nonlinear Phenomena","Phys. D: Nonlinear Phenom."
"Physica D","Phys. D"
"Physica E: Low-dimensional Systems and Nanostructures","Phys. E: Low-Dimens. Syst. Nanostructures"
"Physica E","Phys. E"
"Physica Scripta T","Phys. Scr. T"
"Physica Scripta","Phys. Scr."
"physica status solidi (RRL) – Rapid Research Letters","Phys. Status Solidi RRL"
"physica status solidi (a)","Phys. Status Solidi A"
"physica status solidi (b)","Phys. Status Solidi B"
"physica status solidi (c)","Phys. Status Solidi C"
"Physica Status Solidi A: Applied Research","Phys. Status Solidi A: Appl. Res."
"Physica Status Solidi B: Basic Research","Phys. Status Solidi B: Basic Res."
"Physica Status Solidi B: Basic Solid State Physics","Phys. Status Solidi B: Basic Solid State Phys."
"Physica Status Solidi C: Current Topics in Solid State Physics","Phys. Status Solidi C: Curr. Top. Solid State Phys."
"Physica Status Solidi","Phys. Status Solidi"
"Physica","Physica"
"Physical Biology","Phys. Biol."
"Physical Chemistry Chemical Physics","Phys. Chem. Chem. Phys."
"Physical Mesomechanics","Phys. Mesomech."
"Physical Review A: Atomic, Molecular, and Optical Physics","Phys. Rev. A: At. Mol. Opt. Phys."
"Physical Review A","Phys. Rev. A"
"Physical Review Accelerators and Beams","Phys. Rev. Accel. Beams"
"Physical Review Applied","Phys. Rev. Applied"
"Physical Review B","Phys. Rev. B"
"Physical Review B: Condensed Matter","Phys. Rev. B: Condens. Matter"
"Physical Review C","Phys. Rev. C"
"Physical Review C: Nuclear Physics","Phys. Rev. C: Nucl. Phys."
"Physical Review D","Phys. Rev. D"
"Physical Review D: Particles and Fields","Phys. Rev. D: Part. Fields"
"Physical Review E","Phys. Rev. E"
"Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","Phys. Rev. E: Stat. Nonlinear Soft Matter Phys."
"Physical Review E: Statistical Physics, Plasmas, Fluids, and Related Interdisciplinary Topics","Phys. Rev. E: Stat. Phys. Plasmas Fluids Relat. Interdisciplin. Top."
"Physical Review Fluids","Phys. Rev. Fluids"
"Physical Review Letters","Phys. Rev. Lett."
"Physical Review Materials","Phys. Rev. Materials"
"Physical Review Physics Education Research","Phys. Rev. Phys. Educ. Res."
"Physical Review Research","Phys. Rev. Research"
"Physical Review Special Topics – Accelerators and Beams","Phys. Rev. Spec. Top. Accel. Beams"
"Physical Review X","Phys. Rev. X"
"Physical Review","Phys. Rev."
"Physics (New York)","Physics (N.Y.)"
"Physics Education","Phys. Educ."
"Physics Letters A","Phys. Lett. A"
"Physics Letters B","Phys. Lett. B"
"Physics Letters","Phys. Lett."
"Physics Procedia","Phys. Procedia"
"Physics Reports","Phys. Rep."
"Physics Teacher","Phys. Teach."
"Physics Today","Phys. Today"
"Physics World","Phys. World"
"Physics and Chemistry of Solids","Phys. Chem. Solids"
"Physics in Medicine & Biology","Phys. Med. Biol."
"Physics of Atomic Nuclei","Phys. At. Nucl."
"Physics of Fluids A","Phys. Fluids A"
"Physics of Fluids B","Phys. Fluids B"
"Physics of Fluids","Phys. Fluids"
"Physics of Metals and Metallography (USSR) [translation of Fizika Metallovi Metallovedenie]","Phys. Met. Metallogr. (USSR)"
"Physics of Plasmas","Phys. Plasmas"
"Physics of the Earth and Planetary Interiors","Phys. Earth Planet. In."
"Physics of the Solid State","Phys. Solid State"
"Physics-Uspekhi","Phys.-Uspekhi"
"Physik der Kondensierten Materie","Phys. Kondens. Mater."
"Physikalische Zeitschrift der Sowjetunion","Phys. Z. Sowjetunion"
"Physikalische Zeitschrift","Phys. Z."
"Physiological Measurement","Phys. Meas."
"Pis’ma v Astronomicheskii Zhurnal [Soviet Astronomy Letters]","Pis’ma Astron. Zh. [Sov. Astron. Lett.]"
"Pis’ma v Zhurnal Eksperimentalnoi i Teoreticheskoi Fiziki [JETP Letters]","Pis’ma Zh. Eksp. Teor. Fiz. [JETP Lett.]"
"Pis’ma v Zhurnal Tekhnicheskoi Fiziki [Soviet Technical Physics Letters]","Pis’ma Zh. Tekh. Fiz. [Sov. Tech. Phys. Lett.]"
"Planetary and Space Science","Planet. Space Sci."
"Plasma Physics and Controlled Fusion","Plasma Phys. Control. Fusion"
"Plasma Physics","Plasma Phys."
"Plasma Research Express","Plasma Res. Express"
"Plasma Science and Technology","Plasma Sci. Technol."
"Plasma Sources Science and Technology","Plasma Sources Sci. Technol."
"Pramana – Journal of Physics","Pramana - J. Phys."
"Pramana","Pramana"
"Pribory i Tekhnika Eksperimenta [Instruments and Experimental Techniques (USSR)]","Prib. Tekh. E ksp. [Instrum. Exp. Tech. (USSR)]"
"Proceedings in Applied Mathematics and Mechanics","Proc. Appl. Math. Mech."
"Proceedings of SPIE","Proc. SPIE"
"Proceedings of the Cambridge Philosophical Society","Proc. Cambridge Philos. Soc."
"Proceedings of the Combustion Institute","Proc. Combust. Inst."
"Proceedings of the Estonian Academy of Sciences","Proc. Est. Acad. Sci."
"Proceedings of the Geologists' Association","Proc. Geol. Assoc."
"Proceedings of the IEEE","Proc. IEEE"
"Proceedings of the IRE","Proc. IRE"
"Proceedings of the International Astronomical Congress","Proc. Int. Astron. Congr."
"Proceedings of the International Astronomical Union","Proc. Int. Astron. Union"
"Proceedings of the National Academy of Sciences of the United States of America","Proc. Natl. Acad. Sci. U.S.A."
"Proceedings of the Nutrition Society","Proc. Nutr. Soc."
"Proceedings of the Physical Society of London","Proc. Phys. Soc. London"
"Proceedings of the Physical Society, Section A","Proc. Phys. Soc., Sect. A"
"Proceedings of the Physical Society, Section B","Proc. Phys. Soc., Sect. B"
"Proceedings of the Physical Society","Proc. Phys. Soc."
"Proceedings of the Royal Society of London, Series A: Mathematical and Physical Sciences","Proc. R. Soc. London, Ser. A: Math. Phys. Sci."
"Proceedings of the Royal Society of London A","Proc. R. Soc. Lond. A"
"Proceedings of the Royal Society of London, Series B","Proc. R. Soc. London, Ser. B"
"Proceedings of the Royal Society of London","Proc. R. Soc. London"
"Proceedings of the Zoological Society","Proc. Zool. Soc."
"Process Safety Progress","Process Saf. Prog."
"Progress in Aerospace Sciences","Prog. Aerosp. Sci."
"Progress in Biomedical Engineering","Prog. Biomed. Eng."
"Progress in Crystal Growth and Characterization","Prog. Cryst. Growth Charact."
"Progress in Energy","Prog. Energy"
"Progress in Histochemistry and Cytochemistry","Prog. Histochem. Cytochem."
"Progress in Lipid Research","Prog. Lipid Res."
"Progress in Natural Science: Materials International","Prog. Nat. Sci. Mater. Int."
"Progress in Photovoltaics: Research and Applications","Prog. Photovoltaics Res. Appl."
"Progress in Reaction Kinetics","Prog. React. Kinet."
"Progress of Theoretical Physics Supplements","Prog. Theor. Phys. Suppl."
"Progress of Theoretical Physics","Prog. Theor. Phys."
"Propellants, Explosives, Pyrotechnics","Propellants Explos. Pyrotech."
"Publications of the Astronomical Society of the Pacific","Publ. Astron. Soc. Pac."
"Pure and Applied Geophysics","Pure Appl. Geophys."
"Pure and Applied Physics","Pure Appl. Phys."
"Quantum Electronics","Quantum Electron."
"Quantum Optics","Quantum Opt."
"Quantum Science and Technology","Quantum Sci. Technol."
"Quarterly Journal of Mechanics and Applied Mathematics","Q. J. Mech. Appl. Math."
"Quarterly Journal of Science, Literature, and the Arts","Q. J. Sci. Lit. Arts"
"Quarterly Journal of Studies on Alcohol","Q. J. Stud. Alcohol"
"Quarterly Journal of the Geological Society of London","Q. J. Geol. Soc. London"
"Quarterly Journal of the Royal Astronomical Society","Q. J. R. Astron. Soc."
"Quarterly Journal of the Royal Meteorological Society","Q. J. R. Meteorolog. Soc."
"Quaternary Geochronology","Quat. Geochronol."
"Quaternary International","Quat. Int."
"Quaternary Research","Quat. Res."
"Quaternary Science Reviews","Quat. Sci. Rev."
"RCA Review","RCA Rev."
"Radiation Effects and Defects in Solids","Radiat. Eff. Defects Solids"
"Radiation Effects","Radiat. Eff."
"Radio Engineering and Electronic Physics (USSR) [translation of Radiotekhnika i Elektronika]","Radio Eng. Electron. Phys. (USSR)"
"Radio Engineering and Electronics (USSR) [translation of Radiotekhnika i Elektronika]","Radio Eng. Electron. (USSR)"
"Radiotekhnika i Elektronika [Radio Engineering and Electronic Physics (USSR)]","Radiotekh. Elektron. [Radio Eng. Electron. Phys. (USSR)]"
"Radiotekhnika i Elektronika [Radio Engineering and Electronics (USSR)]","Radiotekh. Elektron. [Radio Eng. Electron. (USSR)]"
"Regulatory Peptides","Regul. Pept."
"Remote Sensing of Environment","Remote Sens. Environ."
"Renewable & Sustainable Energy Reviews","Renew. Sustain. Energy Rev."
"Renewable and Sustainable Energy Reviews","Renewable Sustainable Energy Rev."
"Reports on Progress in Physics","Rep. Prog. Phys."
"Research Notes of the AAS","Res. Notes AAS"
"Research in Astronomy and Astrophysics","Res. Astron. Astrophys."
"Research in Nondestructive Evaluation","Res. Nondestr. Eval."
"Resource Geology","Resour. Geol."
"Review of Progress in Coloration and Related Topics","Rev. Prog. Color. Relat. Top."
"Review of Scientific Instruments","Rev. Sci. Instrum."
"Reviews in Conservation","Rev. Conserv."
"Reviews in Mathematical Physics","Rev. Math. Phys."
"Reviews in Mineralogy and Geochemistry","Rev. Mineral. Geochem."
"Reviews of Geophysics and Space Physics","Rev. Geophys. Space Phys."
"Reviews of Geophysics","Rev. Geophys."
"Reviews of Modern Physics","Rev. Mod. Phys."
"Revista Mexicana de Astronomica y Astrofisica","Rev. Mex. Astron. Astrofis."
"Revista Mexicana de Fisica","Rev. Mex. Fis."
"Revue dOptique, Théorique et Instrumentale","Rev. Opt. Theor. Instrum."
"Rheologica Acta","Rheol. Acta"
"Rice Science","Rice Sci."
"Rocky Mountain Geology","Rocky Mt Geol."
"Russian Chemical Reviews","Russ. Chem. Rev."
"Russian Journal of Physical Chemistry [translation of Zhurnal Fizicheskoi Khimii]","Russ. J. Phys. Chem."
"Russian Mathematical Surveys","Russ. Math. Surv."
"SAMPE Journal","SAMPE J."
"Sbornik: Mathematics","Sb. Math."
"Scanning Microscopy for Nanotechnology","Scanning Microsc. Nanotechnol."
"Scanning","Scanning"
"Science Advances","Sci. Adv."
"Science Foundation in China","Sci. Found. China"
"Science Progress","Sci. Prog."
"Science in China, Series A: Mathematics","Sci. China A: Math."
"Science in China, Series C: Life Sciences","Sci. China C: Life Sci."
"Science in China, Series D: Earth Sciences","Sci. China D: Earth Sci."
"Science in China, Series G: Physics, Mechanics and Astronomy","Sci. China G: Phys. Mech. Astron."
"Science","Science"
"Scientific American","Sci. Am."
"Scientific Modeling and Simulation","Sci. Model. Simul."
"Scilight","Scilight"
"Scripta Materialia","Scr. Mater."
"Sedimentary Geology","Sediment. Geol."
"Seismological Research Letters","Seismol. Res. Lett."
"Semiconductor Science and Technology","Semicond Sci. Technol."
"Semiconductor Today","Semicond. Today"
"Sensors (Switzerland)","Sens. Switz."
"Sensors and Actuators A: Physical","Sens. Actuators Phys."
"Sensors and Actuators B: Chemical","Sens. Actuators B Chem."
"Sensors","Sens."
"Signal Processing","Signal Process."
"Smart Materials and Structures","Smart Mater. Struct."
"Solar Cells","Solar Cells"
"Solar Energy Materials amd Solar Cells","Sol. Energy Mater. Sol. Cells."
"Solar Physics","Sol. Phys."
"Solar RRL","Sol. RRL"
"Solar System Research","Sol. Syst. Res."
"Solid State Communications","Solid State Commun."
"Solid State Ionics","Solid State Ionics"
"Solid State Sciences","Solid State Sci."
"Solid-state Electronics","Solid-state Electron."
"Solid–State Electronics","Solid–State Electron."
"Soviet Astronomy Letters [translation of Pisma v Astronomicheskii Zhurnal]","Soc. Astron. Lett."
"Soviet Astronomy [translation of Astronomicheskii Zhurnal]","Sov. Astron."
"Soviet Journal of Atomic Energy [translation of Atomnaya Energiya]","Sov. J. At. Energy"
"Soviet Journal of Low Temperature Physics [translation of Fizika Nizkikh Temperatur]","Sov. J. Low Temp. Phys."
"Soviet Journal of Nuclear Physics [translation of Yadernaya Fizika]","Sov. J. Nucl. Phys."
"Soviet Journal of Optical Technology [translation of Optiko–Mekhanicheskaya Promyshlennost]","Sov. J. Opt. Technol."
"Soviet Journal of Particles and Nuclei [translation of Fizika Elementarnykh Chastitsi Atomnogo Yadra]","Sov. J. Part. Nucl."
"Soviet Journal of Plasma Physics [translation of Fizika Plazmy]","Sov. J. Plasma Phys."
"Soviet Journal of Quantum Electronics [translation of Kvantovaya Elektronika (Moscow)]","Sov. J. Quantum Electron."
"Soviet Physics -- Solid State","Sov. Phys. - Solid State"
"Soviet Physics Journal [translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika]","Sov. Phys. J."
"Soviet Physics–Acoustics [translation of Akusticheskii Zhurnal]","Sov. Phys. Acoust."
"Soviet Physics–Crystallography [translation of Kristallografiya]","Sov. Phys. Crystallogr."
"Soviet Physics–Doklady [translation of Doklady Akademii Nauk SSSR]","Sov. Phys. Dokl."
"Soviet Physics–JETP [translation of Zhurnal Eksperimentalnoi i Teoreticheskoi Fiziki]","Sov. Phys. JETP"
"Soviet Physics–Semiconductors [translation of Fizika i Tekhnika Poluprovodnikov]","Sov. Phys. Semicond."
"Soviet Physics–Solid State [translation of Fizika Tverdogo Tela (Leningrad)]","Sov. Phys. Solid State"
"Soviet Physics–Technical Physics [translation of Zhurnal Tekhnicheskoi Fiziki]","Sov. Phys. Tech. Phys."
"Soviet Physics–Uspekhi [translation of Uspekhi Fizicheskikh Nauk]","Sov. Phys. Usp."
"Soviet Radiophysics [translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika]","Sov. Radiophys."
"Soviet Technical Physics Letters [translation of Pisma v Zhurnal Tekhnicheskoi Fiziki]","Sov. Tech. Phys. Lett."
"Space Research Today","Space Res. Today"
"Space Science Reviews","Space Sci. Rev."
"Spectrochimica Acta, Part A: Molecular Spectroscopy","Spectrochim. Acta, Part A"
"Spectrochimica Acta, Part B: Atomic Spectroscopy","Spectrochim. Acta, Part B"
"Spectrochimica Acta","Spectrochim. Acta"
"Springer Series in Opical Sciences","Springer Ser. Opt. Sci."
"Springer Series in Solid-State Sciences","Springer Ser. Solid-State Sci."
"Stratigraphy and Geological Correlation","Stratigr. Geol. Correl."
"Structural Dynamics","Struct. Dyn."
"Structural Safety","Struct. Saf."
"Structure and Bonding","Struct. Bond."
"Studies in Conservation","Stud. Conserv."
"Superconductor Science and Technology","Supercond. Sci. Technol."
"Superlattices and Microstructures","Superlattices Microstruct."
"Surface Science","Surf. Sci."
"Surface Topography: Metrology and Properties","Surf. Topogr.: Metrol. Prop."
"Surveys in Geophysics","Surv. Geophys."
"Technical Physics Letters","Tech. Phys. Lett."
"Teplofizika Vysokikh Temperatur [High Temperature (USSR)]","Teplofiz. Vys. Temp. [High Temp. (USSR)]"
"The Astronomical Journal","Astron. J."
"The Astrophysical Journal Letters","Astrophys. J. Lett."
"The Astrophysical Journal Supplement Series","Astrophys. J. Suppl. Ser."
"The Astrophysical Journal","Astrophys. J."
"The Electrochemical Society Interface","Electrochem. Soc. Interface"
"The European Physical Journal A","Eur. Phys. J. A"
"The European Physical Journal AP","Eur. Phys. J. AP"
"The European Physical Journal B","Eur. Phys. J. B"
"The European Physical Journal C","Eur. Phys. J. C"
"The European Physical Journal D","Eur. Phys. J. D"
"The European Physical Journal E","Eur. Phys. J. E"
"The European Physical Journal H","Eur. Phys. J. H"
"The Journal of Chemical Physics","J. Chem. Phys."
"The London, Edinburgh and Dublin philosophical magazine and journal of science","Lond. Edinb. Dublin Philos. Mag. J. Sci."
"The Planetary Science Journal","Planet. Sci. J."
"Theoretica Chimica Acta","Theor. Chim. Acta"
"Thin Solid Films","Thin Solid Films"
"tm - Technisches Messen","Tm - Tech. Mess."
"Topics in Applied Physics","Top. Appl. Phys."
"Transactions of the American Crystallographic Association","Trans. Am. Crystallogr. Assoc."
"Transactions of the American Geophysical Union","Trans. Am. Geophys. Union"
"Transactions of the American Institute of Mining, Metallurgical and Petroleum Engineers","Trans. Am. Inst. Min. Metall. Pet. Eng."
"Transactions of the American Nuclear Society","Trans. Am. Nucl. Soc."
"Transactions of the American Society for Metals","Trans. Am. Soc. Met."
"Transactions of the American Society of Mechanical Engineers","Trans. Am. Soc. Mech. Eng."
"Transactions of the British Ceramic Society","Trans. Br. Ceram. Soc."
"Transactions of the Faraday Society","Trans. Faraday Soc."
"Transactions of the Metallurgical Society of AIME","Trans. Metall. Soc. AIME"
"Transactions of the Society of Rheology","Trans. Soc. Rheol."
"Turkisch Journal of Physics","Turk. J. Phys."
"U.S. Geological Survey Bulletin","U.S. Geol. Surv. Bull."
"U.S. Geological Survey Professional Paper","U.S. Geol. Surv. Prof. Pap."
"UK Energy Research Centre","UK Energy Res. Cent."
"Ukrainian Physics Journal [translation of Ukrainskii Fizicheskii Zhurnal (Russian Edition)]","Ukr. Phys. J."
"Ultramicroscopy","Ultramicroscopy"
"Ultrasonics","Ultrasonics"
"Uspekhi Fizicheskikh Nauk [Soviet Physics–Uspekhi]","Usp. Fiz. Nauk [Sov. Phys. Usp.]"
"Vacuum","Vacuum"
"Vistas in Astronomy","Vistas Astron."
"Water Research","Water Res."
"Water Resources Research","Water Resour. Res."
"Water Resources","Water Resour."
"Wiley Interdisciplinary Reviews: Computational Statistics","Wiley Interdiscip. Rev. Comput. Stat."
"Wuli Xuebao (Acta Physica Sinica) [Chinese Journal of Physics]","Wuli Xuebao (Acta Phys. Sin.) [Chin. J. Phys.]"
"Yadernaya Fizika [Soviet Journal of Nuclear Physics]","Yad. Fiz. [Sov. J. Nucl. Phys.]"
"Zeitschrift für Analytische Chemie","Z. Anal. Chem."
"Zeitschrift für Angewandte Physik","Z. Angew. Phys."
"Zeitschrift für Anorganische und Allgemeine Chemie","Z. Anorg. Allg. Chem."
"Zeitschrift für Astrophysik","Z. Astrophys."
"Zeitschrift für Elektrochemie","Z. Elektrochem."
"Zeitschrift für Kristallographie, Kristallgeometrie, Kristallphysik, Kristallchemie","Z. Kristallogr. Kristallgeom. Kristallphys. Kristallchem."
"Zeitschrift für Kristallographie","Z. Krist."
"Zeitschrift für Metallkunde","Z. Metallkd."
"Zeitschrift für Naturforschung, Teil A: Physik, Physikalische Chemie, Kosmophysik","Z. Naturforsch. Teil A"
"Zeitschrift für Naturforschung","Z. Naturforsch."
"Zeitschrift für Physik A: Atoms and Nuclei","Z. Phys. A: At. Nucl."
"Zeitschrift für Physik A","Z. Phys. A"
"Zeitschrift für Physik B: Condensed Matter","Z. Phys. B: Condens. Matter"
"Zeitschrift für Physik B: Condensed Matter and Quanta","Z. Phys. B: Condens. Matter Quanta"
"Zeitschrift für Physik B","Z. Phys. B"
"Zeitschrift für Physik C: Particles and Fields","Z. Phys. C: Part. Fields"
"Zeitschrift für Physik C","Z. Phys. C"
"Zeitschrift für Physik D: Atoms, Molecules and Clusters","Z. Phys. D: At. Mol. Clust."
"Zeitschrift für Physik D","Z. Phys. D"
"Zeitschrift für Physik","Z. Phys."
"Zeitschrift für Physikalische Chemie, Abteilung A: Chemische Thermodynamik, Kinetik, Elektrochemie, Eigenschaftslehre","Z. Phys. Chem. Abt. A"
"Zeitschrift für Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie","Z. Phys. Chem. Abt. B"
"Zeitschrift für Physikalische Chemie (Frankfurt am Main)","Z. Phys. Chem. (Frankurt am Main)"
"Zeitschrift für Physikalische Chemie (Leipzig)","Z. Phys. Chem. (Leipzig)"
"Zeitschrift für Physikalisch–Chemische Materialforschung","Z. Phys. Chem. Materialforsch."
"Zhurnal Éksperimentalnoi i Teoreticheskoi Fiziki","Zh. Eksp. Teor. Fiz"
"Zhurnal Eksperimentalnoi i Teoreticheskoi Fiziki [Soviet Physics–JETP]","Zh. Eksp. Teor. Fiz. [Sov. Phys. JETP]"
"Zhurnal Fizicheskoi Khimii [Russian Journal of Physical Chemistry]","Zh. Fiz. Khim. [Russ. J. Phys. Chem.]"
"Zhurnal Prikladnoi Spektroskopii [Journal of Applied Spectroscopy (USSR)]","Zh. Prikl. Spektrosk. [J. Appl. Spectrosc. (USSR)]"
"Zhurnal Tekhnicheskoi Fiziki [Soviet Physics–Technical Physics]","Zh. Tekh. Fiz. [Sov. Phys. Tech. Phys.]"
"arXiv.org, e-Print Archive Astrophysics","arXiv.org, e-Print Arch. Astrophys."
"arXiv.org, e-Print Archive Condensed Matter","arXiv.org, e-Print Arch. Condens. Matter"
"arXiv.org, e-Print Archive Physics","arXiv.org, e-Print Arch. Phys."
