"""Brevia""","Brevia (Rome)"
"Journal of the Massachusetts Dental Society","J Mass Dent Soc"
"Journal of the Medical Association for Prevention of War","J Med Assoc Prev War"
"Journal of the Medical Association of Georgia","J Med Assoc Ga"
"Journal of the Medical Association of the State of Alabama","J Med Assoc State Ala"
"Journal of the Medical Library Association : JMLA","J Med Libr Assoc"
"Journal of the Minnesota Academy of Science","J Minn Acad Sci"
"Journal of the Mississippi State Medical Association","J Miss State Med Assoc"
"Journal of the Missouri Bar","J Mo Bar"
"Journal of the Missouri Dental Association","J Mo Dent Assoc"
"Journal of the Mount Sinai Hospital, New York","J Mt Sinai Hosp N Y"
"Journal of the National Association of Chiropodists","J Natl Assoc Chiropodists"
"Journal of the National Cancer Institute","J Natl Cancer Inst"
"Journal of the National Cancer Institute. Monographs","J Natl Cancer Inst Monogr"
"Journal of the National Comprehensive Cancer Network : JNCCN","J Natl Compr Canc Netw"
"Journal of the National Medical Association","J Natl Med Assoc"
"Journal of the New Jersey Dental Association","J N J Dent Assoc"
"Journal of the New York State School Nurse-Teachers Association","J N Y State Sch Nurse Teach Assoc"
"Journal of the New Zealand Society of Periodontology","J N Z Soc Periodontol"
"Journal of the Nigeria Medical Association","J Nigeria Med Assoc"
"Journal of the Optical Society of America","J Opt Soc Am"
"Journal of the Optical Society of America. A, Optics and image science","J Opt Soc Am A"
"Journal of the Optical Society of America. A, Optics, image science, and vision","J Opt Soc Am A Opt Image Sci Vis"
"Journal of the Optical Society of America. B, Optical physics","J Opt Soc Am B"
"Journal of the Oslo city hospitals","J Oslo City Hosp"
"Journal of the Oto-laryngological Society of Australia","J Otolaryngol Soc Aust"
"Journal of the Otto Rank Association. Otto Rank Association","J Otto Rank Assoc"
"Journal of the Pakistan Medical Association","J Pak Med Assoc"
"Journal of the Parenteral Drug Association","J Parenter Drug Assoc"
"Journal of the Patent Office Society. Patent Office Society (U.S.)","J Pat Off Soc"
"Journal of the Patent and Trademark Office Society","J Pat Trademark Off Soc"
"Journal of the Pennsylvania Academy of Science","J Pa Acad Sci"
"Journal of the Philippine Federation of Private Medical Practitioners","J Philipp Fed Priv Med Pract"
"Journal of the Philippine Medical Association","J Philipp Med Assoc"
"Journal of the Physicians Association for AIDS Care","J Physicians Assoc AIDS Care"
"Journal of the Reticuloendothelial Society","J Reticuloendothel Soc"
"Journal of the Rhode Island State Dental Society","J R I State Dent Soc"
"Journal of the Rocky Mountain Analgesia Society","J Rocky Mt Analg Soc"
"Journal of the Rocky Mountain Medieval and Renaissance Association. Rocky Mountain Medieval and Renaissance Association","J Rocky Mt Mediev Renaiss Assoc"
"Journal of the Royal Army Medical Corps","J R Army Med Corps"
"Journal of the Royal Asiatic Society of Great Britain & Ireland. Royal Asiatic Society of Great Britain and Ireland","J R Asiat Soc GB Irel"
"Journal of the Royal Australian Historical Society","J R Aust Hist Soc"
"Journal of the Royal College of Physicians of London","J R Coll Physicians Lond"
"Journal of the Royal College of Surgeons of Edinburgh","J R Coll Surg Edinb"
"Journal of the Royal Naval Medical Service","J R Nav Med Serv"
"Journal of the Royal Society of Antiquaries of Ireland. Royal Society of Antiquaries of Ireland","J R Soc Antiq Irel"
"Journal of the Royal Society of Arts","J R Soc Arts"
"Journal of the Royal Society of Health","J R Soc Health"
"Journal of the Royal Society of Medicine","J R Soc Med"
"Journal of the Royal Society of Western Australia","J R Soc West Aust"
"Journal of the Royal Society, Interface / the Royal Society","J R Soc Interface"
"Journal of the Royal Statistical Society. Series A (General)","J R Stat Soc [Ser A]"
"Journal of the Royal Statistical Society. Series A, (Statistics in Society)","J R Stat Soc Ser A Stat Soc"
"Journal of the Royal Statistical Society. Series C, Applied statistics","J R Stat Soc Ser C Appl Stat"
"Journal of the Science Society of Thailand","J Sci Soc Thailand"
"Journal of the Seattle District Dental Society","J Seattle Dist Dent Soc"
"Journal of the Society for Army Historical Research. Society for Army Historical Research (London, England)","J Soc Army Hist Res"
"Journal of the Society for Gynecologic Investigation","J Soc Gynecol Investig"
"Journal of the Society for Health Systems","J Soc Health Syst"
"Journal of the Society for Information Display","J Soc Inf Disp"
"Journal of the Society for Integrative Oncology","J Soc Integr Oncol"
"Journal of the Society of Archivists. Society of Archivists (Great Britain)","J Soc Arch"
"Journal of the Society of Christian Ethics","J Soc Christ Ethics"
"Journal of the Society of Cosmetic Chemists","J Soc Cosmet Chem"
"Journal of the Society of Pediatric Nurses : JSPN","J Soc Pediatr Nurs"
"Journal of the Society of Research Administrators. Society of Research Administrators","J Soc Res Adm"
"Journal of the South African Logopedic Society","J S Afr Logop Soc"
"Journal of the South African Speech and Hearing Association","J S Afr Speech Hear Assoc"
"Journal of the South African Veterinary Association","J S Afr Vet Assoc"
"Journal of the South African Veterinary Medical Association","J S Afr Vet Med Assoc"
"Journal of the South Carolina Medical Association (1975)","J S C Med Assoc"
"Journal of the Southern California Dental Hygienists' Association","J South Calif State Dent Hyg Assoc"
"Journal of the Southern Orthopaedic Association","J South Orthop Assoc"
"Journal of the Sri Lanka Branch of the Royal Asiatic Society","J Sri Lanka Branch R Asiat Soc"
"Journal of the Tennessee Medical Association","J Tenn Med Assoc"
"Journal of the Warburg and Courtauld Institutes","J Warburg Courtauld Inst"
"Journal of the West","J West"
"Journal of the West Australian Nurses","J West Aust Nurses"
"Journal of the West Virginia Philosophical Society","J West Va Philo Soc"
"Journal of the autonomic nervous system","J Auton Nerv Syst"
"Journal of the cardiometabolic syndrome","J Cardiometab Syndr"
"Journal of the early Republic","J Early Repub"
"Journal of the experimental analysis of behavior","J Exp Anal Behav"
"Journal of the history of biology","J Hist Biol"
"Journal of the history of dentistry","J Hist Dent"
"Journal of the history of ideas","J Hist Ideas"
"Journal of the history of medicine and allied sciences","J Hist Med Allied Sci"
"Journal of the history of philosophy","J Hist Philos"
"Journal of the history of sexuality","J Hist Sex"
"Journal of the history of the behavioral sciences","J Hist Behav Sci"
"Journal of the history of the neurosciences","J Hist Neurosci"
"Journal of the neurological sciences","J Neurol Sci"
"Journal of the peripheral nervous system : JPNS","J Peripher Nerv Syst"
"Journal of the renin-angiotensin-aldosterone system : JRAAS","J Renin Angiotensin Aldosterone Syst"
"Journal of the science of food and agriculture","J Sci Food Agric"
"Journal of theology for Southern Africa","J Theol South Afr"
"Journal of theoretical biology","J Theor Biol"
"Journal of thermal biology","J Therm Biol"
"Journal of thoracic imaging","J Thorac Imaging"
"Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer","J Thorac Oncol"
"Journal of thought","J Thought"
"Journal of thrombosis and haemostasis : JTH","J Thromb Haemost"
"Journal of thrombosis and thrombolysis","J Thromb Thrombolysis"
"Journal of tissue culture methods : Tissue Culture Association manual of cell, tissue, and organ culture procedures","J Tissue Cult Methods"
"Journal of tissue viability","J Tissue Viability"
"Journal of toxicology and environmental health","J Toxicol Environ Health"
"Journal of toxicology and environmental health. Part A","J Toxicol Environ Health A"
"Journal of toxicology and environmental health. Part B, Critical reviews","J Toxicol Environ Health B Crit Rev"
"Journal of toxicology and environmental health. Supplement","J Toxicol Environ Health Suppl"
"Journal of toxicology. Clinical toxicology","J Toxicol Clin Toxicol"
"Journal of toxicology. Cutaneous and ocular toxicology","J Toxicol Cutaneous Ocul Toxicol"
"Journal of toxicology. Toxin reviews","J Toxicol Toxin Rev"
"Journal of trace elements and electrolytes in health and disease","J Trace Elem Electrolytes Health Dis"
"Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)","J Trace Elem Med Biol"
"Journal of transcultural nursing : official journal of the Transcultural Nursing Society / Transcultural Nursing Society","J Transcult Nurs"
"Journal of translational medicine","J Transl Med"
"Journal of transnational law & policy / Florida State University","J Transnatl Law Policy"
"Journal of transplant coordination : official publication of the North American Transplant Coordinators Organization (NATCO)","J Transpl Coord"
"Journal of trauma & dissociation : the official journal of the International Society for the Study of Dissociation (ISSD)","J Trauma Dissociation"
"Journal of trauma nursing : the official journal of the Society of Trauma Nurses","J Trauma Nurs"
"Journal of traumatic stress","J Trauma Stress"
"Journal of travel medicine : official publication of the International Society of Travel Medicine and the Asia Pacific Travel Health Association","J Travel Med"
"Journal of tropical pediatrics","J Trop Pediatr"
"Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine","J Ultrasound Med"
"Journal of ultrastructure and molecular structure research","J Ultrastruct Mol Struct Res"
"Journal of ultrastructure research","J Ultrastruct Res"
"Journal of urban economics","J Urban Econ"
"Journal of urban health : bulletin of the New York Academy of Medicine","J Urban Health"
"Journal of urban history","J Urban Hist"
"Journal of urban law / University of Detroit","J Urban Law"
"Journal of urological nursing","J Urol Nurs"
"Journal of vacuum science & technology. A, Vacuum, surfaces, and films : an official journal of the American Vacuum Society","J Vac Sci Technol A"
"Journal of vascular and interventional radiology : JVIR","J Vasc Interv Radiol"
"Journal of vascular nursing : official publication of the Society for Peripheral Vascular Nursing","J Vasc Nurs"
"Journal of vascular research","J Vasc Res"
"Journal of vascular surgery : official publication, the Society for Vascular Surgery [and] International Society for Cardiovascular Surgery, North American Chapter","J Vasc Surg"
"Journal of vector borne diseases","J Vector Borne Dis"
"Journal of vector ecology : journal of the Society for Vector Ecology","J Vector Ecol"
"Journal of vestibular research : equilibrium & orientation","J Vestib Res"
"Journal of veterinary cardiology : the official journal of the European Society of Veterinary Cardiology","J Vet Cardiol"
"Journal of veterinary dentistry","J Vet Dent"
"Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc","J Vet Diagn Invest"
"Journal of veterinary internal medicine / American College of Veterinary Internal Medicine","J Vet Intern Med"
"Journal of veterinary medical education","J Vet Med Educ"
"Journal of veterinary medicine. A, Physiology, pathology, clinical medicine","J Vet Med A Physiol Pathol Clin Med"
"Journal of veterinary medicine. B, Infectious diseases and veterinary public health","J Vet Med B Infect Dis Vet Public Health"
"Journal of veterinary pharmacology and therapeutics","J Vet Pharmacol Ther"
"Journal of veterinary science (Suwon-si, Korea)","J Vet Sci"
"Journal of viral hepatitis","J Viral Hepat"
"Journal of virological methods","J Virol Methods"
"Journal of virology","J Virol"
"Journal of vision","J Vis"
"Journal of visual communication in medicine","J Vis Commun Med"
"Journal of visual impairment & blindness","J Vis Impair Blind"
"Journal of vocational behavior","J Vocat Behav"
"Journal of voice : official journal of the Voice Foundation","J Voice"
"Journal of voluntary action research","J Volunt Action Res"
"Journal of water and health","J Water Health"
"Journal of wilderness medicine","J Wilderness Med"
"Journal of wildlife diseases","J Wildl Dis"
"Journal of women & aging","J Women Aging"
"Journal of women's health & gender-based medicine","J Womens Health Gend Based Med"
"Journal of women's health (2002)","J Womens Health (Larchmt)"
"Journal of women's health / the official publication of the Society for the Advancement of Women's Health Research","J Womens Health"
"Journal of women's health and law","J Womens Heal"
"Journal of women's history","J Womens Hist"
"Journal of wound care","J Wound Care"
"Journal of wound, ostomy, and continence nursing : official publication of The Wound, Ostomy and Continence Nurses Society / WOCN","J Wound Ostomy Continence Nurs"
"Journal of youth and adolescence","J Youth Adolesc"
"Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians","J Zoo Wildl Med"
"Journal of zoological systematics and evolutionary research","Zeitschrift fur zoologische Systematik und Evolutionsforschung|J. Zoolog. Syst. Evol. Res."
"Journal of zoology","J Zool"
"Journal. Assam Science Society","J Assam Science Society"
"Journal. Children's Asthma Research Institute and Hospital, Denver","J Child Asthma Res Inst Hosp Denver"
"Journal. Houston District Dental Society","J Houston Dist Dent Soc"
"Journal. Indianapolis District Dental Society","J Indianap Dist Dent Soc"
"Journal. Iowa State Medical Society","J Iowa State Med Soc"
"Journal. Medical Association of Eire","J Med Assoc Eire"
"Journal. Mercer Dental Society, Trenton","J Mercer Dent Soc"
"Journal. National Analgesia Society","J Natl Analg Soc"
"Journal. National Malaria Society","J Natl Malar Soc"
"Journal. Royal Microscopical Society (Great Britain)","J R Microsc Soc"
"Journal. Royal Sanitary Institute (Great Britain)","J R Sanit Inst"
"Journal. San Antonio District Dental Society","J San Antonio Dent Soc"
"Journal. Washington Academy of Sciences, Washington, D. C","J Wash Acad Sci"
"Journalen sykepleien","J Sykepleien"
"Journalism Conference And Workshop","J Conf Workshop"
"Journalism history","Journal Hist"
"Journalism monographs (Austin, Tex.)","Journalism Monogr"
"Journees annuelles de diabetologie de l'Hotel-Dieu","Journ Annu Diabetol Hotel Dieu"
"Judaica librarianship","Jud Librariansh"
"Judaism","Judaism"
"Judicature","Judicature"
"Jugoslavenska ginekologija i opstetricija","Jugosl Ginekol Opstet"
"Jugoslavenska ginekologija i perinatologija","Jugosl Ginekol Perinatol"
"Jugoslovenski pregled; informativno dokumentarni prirucnik o Jugoslaviji","Jugosl Pregl"
"Julkaisu. Suomen Naishammaslaakarit ryhma, Helsingfors","Julk Suom Naishammaslaak Ryhma"
"Jun shi yi xue ke xue yuan yuan kan","Bulletin of the Academy of Military Medical Sciences|Chun Shih I Hsueh Ko Hsueh Yuan Yuan Kan"
"Jun wu xi tong","Mycosystema / Zhongguo ke xue yuan Wei sheng wu yan jiu suo. Zhongguo jun wu xue hui zhu ban|Jun Wu Xi Tong"
"Jurimetrics","Jurimetrics"
"Juris doctor","Juris Dr"
"Jurist (Washington, D.C.)","Jurist"
"Juristat","Juristat"
"Justus Liebigs Annalen der Chemie","Justus Liebigs Ann Chem"
"Juvenile & family court journal","Juv Fam Court J"
"Jyske samlinger","Jyske Saml"
"K [reports]. U.S. Atomic Energy Commission","K Rep"
"KIPH bulletin","KIPH Bull"
"KOS","Kos"
"KY [reports]. U.S. Atomic Energy Commission","KY Rep"
"Kadmoniyot","Qadmoniot"
"Kagakushi kenkyu. [Journal of the history of science, Japan","Kagakushi Kenkyu"
"Kaibogaku zasshi. Journal of anatomy","Kaibogaku Zasshi"
"Kaiin dayori. [Membership news]. Nippon Kontakuto Renzu Gakkai","Kaiin Dayori Nippon Kontakuto Renzu Gakkai"
"Kajok kyehoek nonjip. Journal of family planning studies","Kajok Kyehoek Nonjip"
"Kaku igaku. The Japanese journal of nuclear medicine","Kaku Igaku"
"Kamper almanak","Kampener Alm"
"Kanagawa shigaku. The Journal of the Kanagawa Odontological Society","Kanagawa Shigaku"
"Kanazawa Ika Daigaku zasshi","Journal of Kanazawa Medical University|Kanazawa Ika Daigaku Zasshi"
"Kangaroo","Kangaroo"
"Kango kenkyu. The Japanese journal of nursing research","Kango Kenkyu"
"Kango kyoshitsu. [Nursing classroom]","Kango Kyoshitsu"
"Kango tenbo. The Japanese journal of nursing science","Kango Tenbo"
"Kanho Hakhoe chi [The Journal of Nurses Academic Society]","Kanho Hakhoe Chi"
"Kanhohak t'amgu","Kanhohak Tamgu"
"Kansai Daigaku keizai ronshu","Kansai Daigaku Keizai Ronshu"
"Kansas history","Kans Hist"
"Kansas medicine : the journal of the Kansas Medical Society","Kans Med"
"Kansas statutes annotated : duly arranged, numbered, annotated, and indexed with histories, notes, and references as required by law / Compiled and edited by Franklin Corrick, revisor of statutes. Kansas","Kans Statut Annot Kans"
"Kansenshogaku zasshi. The Journal of the Japanese Association for Infectious Diseases","Kansenshogaku Zasshi"
"Kao gu ren lei xue kan","Kao Ku Jen Lei Hsueh Kan"
"Kardiologia polska","Kardiol Pol"
"Kardiologiia","Kardiologiia"
"Kat'ollik Taehak Uihakpu nonmunjip","Katollik Taehak Uihakpu Nonmunjip"
"Kathmandu University medical journal (KUMJ)","Kathmandu Univ Med J (KUMJ)"
"Katilolehti","Katilolehti"
"Katunob","Katunob"
"Kazanskii meditsinskii zhurnal","Kazan Med Zh"
"Keeping posted","Keep Posted"
"Keio economic studies","Keio Econ Stud"
"Keisei geka. Plastic & reconstructive surgery","Keisei Geka"
"Kekkaku : [Tuberculosis]","Kekkaku"
"Kemi","Kemi"
"Kennedy Institute of Ethics journal","Kennedy Inst Ethics J"
"Kentucky bench & bar","Ky Bench Bar"
"Kentucky dental journal","Ky Dent J"
"Kentucky folklore record","Ky Folkl Rec"
"Kentucky hospitals magazine","Ky Hosp Mag"
"Kentucky law journal (Lexington, Ky.)","KY Law J"
"Kentucky medical journal","Ky Med J"
"Kentucky nurse","Ky Nurse"
"Kenya nursing journal","Kenya Nurs J"
"Kenya statistical digest","Kenya Stat Dig"
"Keystone folklore quarterly","Keystone Folkl Q"
"Khelmintologiia","Khelmintologiia"
"Khigiena i zdraveopazvane","Hig Zdraveopaz"
"Khimiia i meditsina","Khimiia Meditsina"
"Khimiia prirodnykh soedinenii","Him Prir Soedin"
"Khirurgiia","Khirurgiia (Sofiia)"
"Kidney & blood pressure research","Kidney Blood Press Res"
"Kidney international","Kidney Int"
"Kidney international. Supplement","Kidney Int Suppl"
"Kieler Beitrage zur Geschichte der Medizin und Pharmazie","Kieler Beitr Gesch Med Pharm"
"Kieler geographische Schriften","Kiel Geogr Schr"
"Kinderarztliche Praxis","Kinderarztl Prax"
"Kinderkrankenschwester : Organ der Sektion Kinderkrankenpflege / Deutsche Gesellschaft fur Sozialpadiatrie und Deutsche Gesellschaft fur Kinderheilkunde","Kinderkrankenschwester"
"Kinetoplastid biology and disease","Kinetoplastid Biol Dis"
"Kiryat sefer","Kiryat Sefer"
"Kisaengch'unghak chapchi. The Korean journal of parasitology","Kisaengchunghak Chapchi"
"Kiseichugaku zasshi. Japanese journal of parasitology","Kisechugaku Zasshi"
"Kiserletes orvostudomany","Kiserl Orvostud"
"Kiso shinrigaku kenkyu","Jpn J Psychon Sci"
"Kita Kanto igaku. Kitakanto medical journal","Kita Kanto Igaku"
"Kiyo. [Reports]. Kyoto Daigaku. Kekkaku Kenkyusho","Kyoto Daigaku Kekkaku Kenkyusho Kiyo"
"Kleio","Kleio"
"Klinicheskaia khirurgiia","Klin Khir"
"Klinicheskaia laboratornaia diagnostika","Klin Lab Diagn"
"Klinicheskaia meditsina","Klin Med (Mosk)"
"Klinichna khirurhiia / Ministerstvo okhorony zdorov'ia Ukrainy, Naukove tovarystvo khirurhiv Ukrainy","Klin Khir"
"Klinicka mikrobiologie a infekcni lekarstvi","Klin Mikrobiol Infekc Lek"
"Klinika i lechenie zlokachestvennykh novoobrazovanii","Klin Lech Zlokach Novoobraz"
"Klinika oczna","Klin Oczna"
"Klinische Anasthesiologie und Intensivtherapie","Klin Anasthesiol Intensivther"
"Klinische Medizin; osterreichische Zeitschrift fur wissenschaftliche und praktische Medizin","Klin Med Osterr Z Wiss Prakt Med"
"Klinische Monatsblatter fur Augenheilkunde","Klin Monatsbl Augenheilkd"
"Klinische Monatsblatter fur Augenheilkunde und fur augenarztliche Fortbildung","Klin Monatsblatter Augenheilkd Augenarztl Fortbild"
"Klinische Padiatrie","Klin Padiatr"
"Klinische Wochenschrift","Klin Wochenschr"
"Klinisk sygepleje","Klin Sygepleje"
"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA","Knee Surg Sports Traumatol Arthrosc"
"Ko Hsueh Tung Pao","Kexue Tongbao [English Language Edition]|Kexue Tongbao"
"Kobe Daigaku Igakubu kiyo. Medical journal of Kobe University","Kobe Daigaku Igakubu Kiyo"
"Kobe Ika Daigaku kiyo","Kobe Ika Daigaku Kiyo"
"Koinonia","Koinonia"
"Koku Eisei Gakkai zasshi","Koku Eisei Gakkai Zasshi"
"Kokubyo Gakkai zasshi. The Journal of the Stomatological Society, Japan","Kokubyo Gakkai Zasshi"
"Kokyu to junkan. Respiration & circulation","Kokyu To Junkan"
"Kolner Zeitschrift fur Soziologie und Sozialpsychologie","Kolner Z Soz Sozialpsychol (Aufl)"
"Kolner medizinhistorische Beitrage","Koln Med Beitr"
"Komunikaty mazursko-warminskie","Komun Mazur Warm"
"Kongressband / Deutsche Gesellschaft fur Chirurgie. Deutsche Gesellschaft fur Chirurgie. Kongress","Kongressbd Dtsch Ges Chir Kongr"
"Konjunkturpolitik","Konjunkturpolitik"
"Korea & world affairs","Korea (South)"
"Korea journal","Korea J"
"Korea journal of population and development","Korea J Popul Dev"
"Korean and Korean-American studies bulletin","Korean Korean Am Stud Bull"
"Korean journal of biological sciences","Korean J Biol Sci"
"Korean journal of ophthalmology : KJO","Korean J Ophthalmol"
"Korean journal of radiology : official journal of the Korean Radiological Society","Korean J Radiol"
"Korot","Korot"
"Koshu Eiseiin kenkyu hokoku. Bulletin of the Institute of Public Health","Koshu Eisei In Kenkyu Hokoku"
"Kosmas : [journal of the Czechoslovak Society of Arts and Sciences (SVU)]","Kosmas"
"Kosmicheskaia biologiia i aviakosmicheskaia meditsina","Kosm Biol Aviakosm Med"
"Kosmicheskaia biologiia i meditsina","Kosm Biol Med"
"Kosmos. Seria A, Biologia / Polskie Towarzystwo Przyrodnikow im. Kopernika","Kosm Ser A Biol"
"Kotiseutu","Kotiseutu"
"Krankengymnastik","Krankengymnastik"
"Krankenpflege (Frankfurt am Main, Germany)","Krankenpflege (Frankf)"
"Krankenpflege Journal","Krankenpfl J"
"Krankenpflege. Soins infirmiers","Krankenpfl Soins Infirm"
"Krebsforschung und Krebsbekampfung","Krebsforsch Krebsbekampf"
"Kritiek (Ravels, Belgium)","Kritiek"
"Kroc Foundation series","Kroc Found Ser"
"Kronika (Ljubljana, Slovenia)","Kronika"
"Kultur & Technik : Zeitschrift des Deutschen Museums Munchen","Kult Tech"
"Kultura fizyczna","Kult Fiz"
"Kultura i spoleczenstwo","Kult Spolecz"
"Kumamoto Igakkai zasshi. The Journal of the Kumamoto Medical Society","Kumamoto Igakkai Zasshi"
"Kun chong fen lei xue bao","Entomotaxonomia|Kun Chong Fen Lei Xue Bao"
"Kun chong xue bao. Acta entomologica Sinica","Kun Chong Xue Bao"
"Kun chong zhi shi","Kunchong zhishi / [Zhongguo kun chong xue hui]|Kun Chong Zhi Shi"
"Kungliga Krigsvetenskapsakademiens handlingar och tidskrift","K Krigsvetenskapakad Handlingar Tidskr"
"Kunst & Therapie","Kunst Ther"
"Kunst des Orients","Kunst Orient"
"Kwartalnik historii kultury materialnej","Kwart Hist Kult Mater"
"Kwartalnik historii nauki i techniki : Kwartal'nyi zhurnal istorii nauki i tekhniki -","Kwart Hist Nauki Tech"
"Kwartalnik historii ruchu zawodowego","Kwart Hist Ruchu Zaw"
"Kwartalnik historyczny","Kwart Hist"
"Kybernetik","Kybernetik"
"Kyklos : Jahrbuch des Instituts fur Geschichte der Medizin an der Universitat Leipzig","Kyklos"
"Kyobu geka. The Japanese journal of thoracic surgery","Kyobu Geka"
"Kyoto Daigaku kokukagaku kiyo. Bulletin of stomatology, Kyoto University","Kyoto Daigaku Kokukagaku Kiyo"
"Kypriakai spoudai : deltion tes Hetaireias Kypriakon Spoudon","Kupr Spoud"
"Kyushu journal of medical science","Kyushu J Med Sci"
"L' Alimentation et la vie","Aliment Vie"
"L' Annee biologique","Annee Biol"
"L' Annee psychologique","Annee Psychol"
"L' Annee sociologique","Annee Sociol"
"L' Annee therapeutique","Annee Ther"
"L' Arcispedale S. Anna di Ferrara","Arcisp S Anna Ferrara"
"L' Ateneo parmense. Sezione I: Acta bio-medica","Ateneo Parmense [1]"
"L' Ethnographie","Ethnographie."
"L' Eurobiologiste","Eurobiologiste"
"L' Evolution medicale","Evol Med"
"L' Evolution psychiatrique","Evol Psychiatr (Paris)"
"L' Homeopathie francaise","Homeopath Fr"
"L' Homme; revue francaise d'anthropologie","Homme"
"L' Hopital","Hopital"
"L' Infirmiere","Infirmiere"
"L' Infirmiere canadienne","Infirm Can"
"L' Infirmiere haitienne","Infirm Haiti"
"L' Information dentaire","Inf Dent"
"L' Information medicale et paramedicale","Inf Med Paramed (Montreal)"
"L' Orthodontie francaise","Orthod Fr"
"L' Ospedale maggiore","Osp Maggiore"
"L'Action nationale","Action Natl"
"L'Actualite chimique","Actual Chim"
"L'Actualite economique","Actual Econ"
"L'Aeronautique et l'astronautique : organe commun de l'Association francaise des ingenieurs et techniciens de l'aeronautique de l'espace (A.F.I.T.A.E.) et de la Societe francaise d'astronautique (S.F.A.)","Aeronaut Astronaut"
"L'Afrique et l'Asie modernes","Afr Asie Mod"
"L'Afrique litteraire et artistique","Afr Litt Artist"
"L'Annee endocrinologique","Annee Endocrinol"
"L'Annee sociale / Institut de Sociologie, Universite libre de Bruxelles","Annee Soc"
"L'Annee therapeutique et clinique en ophtalmologie","Annee Ther Clin Ophtalmol"
"L'Antiquite classique","Antiq Class"
"L'Archiginnasio : bullettino della Biblioteca comunale di Bologna","Archiginnasio"
"L'Ateneo parmense. Acta bio-medica : organo della Societa di medicina e scienze naturali di Parma","Ateneo Parmense Acta Biomed"
"L'Ateneo parmense. Acta naturalia : organo della Societa di medicina e scienze naturali di Parma","Ateneo Parmense Acta Nat"
"L'Attualita dietetica","Attual Diet"
"L'Auxiliaire","Auxiliaire"
"L'Avenir medical","Avenir Med"
"L'Echo medical des Cevennes","Echo Med Cevennes"
"L'Economia umana; rassegna medica internazionale","Economia Umana Rassegna Medica Internazionale"
"L'Economie de la Reunion","Econ Reun"
"L'Egypte contemporaine","Egypte Contemp"
"L'Encephale","Encephale"
"L'Espace geographique","Espace Geogr"
"L'Estampille","Estampille"
"L'Hygiene mentale","Hyg Ment"
"L'Infirmiere auxiliaire : revue de la Corporation professionnelle des infirmieres et infirmiers auxiliaires du Quebec","Infirm Aux"
"L'Infirmiere du Quebec : revue officielle de l'Ordre des infirmieres et infirmiers du Quebec","Infirm Que"
"L'Infirmiere francaise","Infirm Fr"
"L'Information d'histoire de l'art","Inf Hist Art"
"L'Information geographique","Inf Geogr"
"L'Information historique","Inf Hist"
"L'Information litteraire","Inf Litt"
"L'Information psychiatrique","Inf Psychiatr"
"L'Informatore medico","Inf Med"
"L'Odontologie","Odontologie"
"L'Ospedale psichiatrico","Osp Psichiatr"
"L'Oto-rino-laringologia italiana","Otorinolaringol Ital"
"L'echo medical du nord","Echo Med Nord"
"L'enfant en milieu tropical","Enfant Milieu Trop"
"L'igiene moderna","Ig Mod"
"L'union medicale du Canada","Union Med Can"
"LA [reports]. U.S. Atomic Energy Commission","LA Rep"
"LARC medical","LARC Med"
"LC GC : magazine of liquid and gas chromatography","LC GC"
"LDA journal","LDA J"
"LDI issue brief","LDI Issue Brief"
"LEXIS District of Columbia code. District of Columbia","Lexis DC Code DC"
"LJ special report","LJ Spec Rep"
"LLULL : boletin de la Sociedad Espanola de Historia de las Ciencias","Llull"
"LMT : Lab management today","LMT"
"LTC regulatory risk & liability advisor","LTC Regul Risk Liabil Advis"
"La Bibliofilia; rivista de storia del libro e delle arti grafiche di bibliografia ed erudizione","Bibliofilia"
"La Casana","Casana"
"La Cellule","Cellule"
"La Chirurgia degli organi di movimento","Chir Organi Mov"
"La Civilta cattolica","Civ Cattol"
"La Clinica ginecologica","Clin Ginecol"
"La Clinica ortopedica","Clin Ortop"
"La Clinica ostetrica e ginecologica","Clin Ostet Ginecol"
"La Clinica otorinolaringoiatrica","Clin Otorinolaringoiatr"
"La Clinica pediatrica","Clin Pediatr (Bologna)"
"La Clinica terapeutica","Clin Ter"
"La Clinica termale","Clin Term"
"La Clinica veterinaria","Clin Vet (Milano)"
"La Critica sociologica","Crit Sociol"
"La Gazette des archives","Gaz Arch"
"La Lutte contre le cancer","Lutte Cancer"
"La Medecine aeronautique","Med Aeronaut"
"La Medecine en France","Med Fr (Bombay)"
"La Medecine infantile","Med Infant (Paris)"
"La Medicina colonial","Med Colon"
"La Medicina del lavoro","Med Lav"
"La Medicina internazionale","Med Int (Milano)"
"La Medicina tropical","Med Trop (Madr)"
"La Nouvelle presse medicale","Nouv Presse Med"
"La Nouvelle revue des deux mondes","Nouv Rev Deux Mondes"
"La Nuova veterinaria","Nuova Vet"
"La Pathologie generale","Pathol Gen"
"La Pediatria","Pediatria (Napoli)"
"La Pediatria medica e chirurgica : Medical and surgical pediatrics","Pediatr Med Chir"
"La Pensee","Pensee"
