"Archäologischer Anzeiger","AA"
"Jahrbuch für Numismatik und Geldgeschichte","JNG"
"Journal of Prehistoric Religion","JPrehistRel"
"Journal of Roman Archaeology","JRA"
"Journal of Roman Military Equipment Studies","JRomMilSt"
"Journal of Roman Pottery Studies","JRomPotSt"
"Journal of Roman Studies","JRS"
"Journal des savants","JSav"
"Jahresschrift für mitteldeutsche Vorgeschichte","JSchrVgHalle"
"Journal of Semitic Studies","JSS"
"Journal of Theoretical Archaeology","JTheorA"
"Iura. Rivista internazionale di diritto romano e antico","Jura"
"The Journal of the Walters Art Gallery","JWaltersArtGal"
"Journal of the Warburg and Courtauld Institutes","JWCI"
"Kadmos. Zeitschrift für vor- und frühgriechische Epigraphik","Kadmos"
"Kairos. Zeitschrift für Judaistik und Religionswissenschaft","Kairos"
"Kalapodi. Ergebnisse der Ausgrabungen im Heiligtum der Artemis und des Apollon von Hyampolis in der antiken Phokis","Kalapodi"
"Kalathos. Revista del Seminario de arqueología y etnología Turolense, Universidad de Teruel","Kalathos"
"Kalós. Arte in Sicilia","Kalos"
"Karthago. Revue d'archéologie mediterranéenne","Karthago"
"Kêmi. Revue de philologie et d'archéologie égytiennes et coptes","Kemi"
"Kenchreai. Eastern Port of Corinth. Results of Investigations by the University of Chicago and Indiana University for the American School of Classical Studies at Athens","Kenchreai"
"Kent Archaeological Review","KentAR"
"Keos. Results of Excavations Conducted by the University of Cincinnati under the Auspices of the American School of Classical Studies at Athens","Keos"
"Kerameikos. Ergebnisse der Ausgrabungen","Kerameikos"
"Kernos. Revue internationale et pluridisciplinaire de religion grecque antique","Kernos"
"Klearchos. Bollettino dell'Associazione Amici del Museo nazionale di Reggio Calabria","Klearchos"
"Kleos. Estemporaneo di studi e testi sulla fortuna dell'antico","Kleos"
"Klio. Beiträge zur alten Geschichte","Klio"
"Kodai. Journal of Ancient History","Kodai"
"Kölner Jahrbuch","KoelnJb"
"Kölner Museums-Bulletin. Berichte und Forschungen aus den Museen der Stadt Köln","KoelnMusB"
"Kώκαλος. Studi pubblicati dall’Istituto di storia antica dell’Università di Palermo","Kokalos"
"Kolloquien zur Allgemeinen und Vergleichenden Archäologie","KollAVA"
"Kratylos. Kritisches Berichts- und Rezensionsorgan für indogermanische und allgemeine Sprachwissenschaft","Kratylos"
"Κρητικά Χρονικά","KretChron"
"Kratkie soobščenija o dokladach i polevych issledovanijach Instituta archeologii","KSIA"
"Kratkie soobščenija Instituta archeologii, Kiev","KSIAKiev"
"Kazı Sonuçları Toplantısı","KST"
"Ktema. Civilisations de l'Orient, de la Grèce et de Rome antiques","Ktema"
"Kunstgeschichtliche Anzeigen","KuGeschAnz"
"Kuml. Årbog for Jysk Arkaeologisk Selskab","Kuml"
"Kunstchronik. Monatsschrift für Kunstwissenschaft, Museumswesen und Denkmalpflege, Mitteilungsblatt des Verbandes Deutscher Kunsthistoriker","Kunstchronik"
"Kunst des Orients","KuOr"
"Kush. Journal of the National Corporation for Antiquities and Museums (NCAM)","Kush"
"Kunst der Welt in den Berliner Museen","KuWeltBerlMus"
"Κυπριακή Αρχαιολογία. Archaeologia Cypria","KypA"
"Κυπριακαì Σπουδαί","KypSpud"
"Labeo. Rassegna di ritritto romano","Labeo"
"Lexikon der Ägyptologie","LAe"
"Laietania. Estudios d'arqueologia del Maresme","Laietania"
"Lampas. Tijdschrift voor nederlandse classici","Lampas"
"Lancia. Revista de prehistoria, arqueología e historia antigua del noreste peninsular","Lancia"
"Landeskundliche Vierteljahrsblätter. Trier","LandKunVierJBl"
"Langues orientales anciennes. Philologie et linguistique","LangOrAnc"
"Latinitas. Commentarii linguae Latinae excolendae provehendae","Latinitas"
"Latomus. Revue d'études latines","Latomus"
"Laverna. Beiträge zur Wirtschafts- und Sozialgeschichte der Alten Welt","Laverna"
"A. D. Trendall, The Red-figured Vases of Lucania, Campania and Sicily (Oxford 1967--­1983)","LCS"
"Levant. Journal of the British School of Archaeology in Jerusalem and the British Institute at Amman for Archaeology and History","Levant"
"Lexis. Poetica, retorica e comunicazione nella tradizione classica","Lexis"
"Listy filologické","LF"
"Libyan Studies","LibSt"
"Libya antiqua","LibyaAnt"
"Libyca. Bulletin du Service des antiquités. Archéologie, épigraphie","LibycaBServAnt"
"Libyca. Travaux du Laboratoire d'anthropologie et d'archéologie préhistorique du Musée du Bardo","LibycaTrav"
"G. Liddell – R. Scott – H. S. Jones, A Greek-English Lexikon \textsuperscript{9}(1996)","Liddell-­Scott-Jones"
"Lexikon iconographicum mythologiae classicae","LIMC"
"Limesforschungen. Studien zur Organisation der römischen Reichsgrenze an Rhein und Donau","Limesforschungen"
"Lindos. Fouilles et recherches","Lindos"
"Linguistica, epigrafia, filologia italica","LingIt"
"Lexikon topographicum urbis Romae","LTUR"
"Lucentum. Anales de la Universidad de Alicante. Prehistoria, arqueología e historia antigua","Lucentum"
"Lund Archaeological Review","LundAR"
"Lustrum. Internationale Forschungsberichte aus dem Bereich des klassischen Altertums","Lustrum"
"Lykia. Anadolu-akdeniz kültürleri","Lykia"
"Macedoniae acta archaeologica","MacActaA"
"Maecenas. Studi sul mondo classico","Maecenas"
"Mitteilungen der Archäologischen Gesellschaft Graz","MAGesGraz"
"Mitteilungen der Archäologischen Gesellschaft Steiermark","MAGesStei"
"Maia. Rivista di letterature classiche","Maia"
"Mainake. Estudios de arqueología Malagueña","Mainake"
"Mitteilungen des Archäologischen Instituts der Ungarischen Akademie der Wissenschaften","MAInstUngAk"
"Mainzer Zeitschrift","MainzZ"
"Makedonsko nasledstvo. Spisanie za arheologija, istorija, istorija na umetnosta i etnologija","MakedNasl"
"Μακεδονικά. Σύγγραμμα Περιοδικόν της Εταιρείας Μακεδονικών Σπουδών","Makedonika"
"Monumenta Asiae Minoris antiqua. Publications of the American Society for Archaeological Research in Asia Minor","MAMA"
"Mitteilungen der Anthropologischen Gesellschaft in Wien","MAnthrWien"
"Monumenta artis Romanae","MARo"
"Marburger Winckelmann-Programm","MarbWPr"
"Le Marche. Archeologia, storia, territorio","Marche"
"Mari. Annales de recherches interdisciplinaires","Mari"
"Marisia. Studii şi materiale. Arheologie, istorie, etnografie","Marisia"
"Il Mar Nero. Annali di archeologia e storia","MarNero"
"Marsyas. Studies in the History of Art","Marsyas"
"Masca Journal. Museum Applied Science Center for Archaeology, University of Pennsylvania","MascaJ"
"Masca Research Papers in Science and Archaeology","MascaP"
"Mastia. Revista del Museo arqueológico municipal de Cartagena","Mastia"
"Materialy po archeologii BSSR","MatABSSR"
"Materialy po archeologii severnogo Pričernomor’ja","MatASevPri"
"Materiale şi cercetări arheologice","MatCercA"
"Materialy i issledovanija po archeologii SSSR","MatIsslA"
"Materiały starożytne","MatStar"
"Materiały starożytne i wczesnośredniowieczne","MatStarWczes"
"Materiali e discussioni per l'analisi dei testi classici","MatTestiCl"
"Materiały wczesnośredniowieczne","MatWczes"
"Materialien zur Allgemeinen und Vergleichenden Archäologie","MAVA"
"Madrider Beiträge","MB"
"Marburger Beiträge zur antiken Handels-, Wirtschafts- und Sozialgeschichte, vor Jahrgang 2009 Münstersche Beiträge zur antiken Handelsgeschichte","MBAH"
"Mitteilungsblatt für Vor- und Frühgeschichte","MBlVFruehGesch"
"Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo","MDAIK"
"Mitteilungen des Deutschen Archäologen-Verbandes e.V.","MDAVerb"
"Mitteilungen des Deutschen Archäologischen Instituts","MdI"
"Mitteilungen der Deutschen Orient-Gesellschaft zu Berlin","MDOG"
"Meander. Miesięcznik poświęcony kulturze świata starożytnego","Meander"
"Mediterranean Archaeology","MedA"
"Mediterraneo antico. Economie, società, culture","MedAnt"
"Meddelelser fra Ny Carlsberg Glyptotek","MeddelGlypt"
"Meddelanden från Lunds universtitets historiska museum","MeddelLund"
"Meddelelser fra Thorvaldsens Museum","MeddelThor"
"Mededelingen van het Nederlands instituut te Rome","MededRom"
"Medelhavsmuseet. Bulletin","MedelhavsMusB"
"Mediterranean Historical Review","MedHistR"
"Medieval Archaeology. Journal of the Society for Medieval Archaeology","MedievA"
"Medicina nei secoli. Arte e scienza","MediSec"
"Mélanges de l'École française de Rome. Antiquité","MEFRA"
"Mélanges de l'Université Saint-Joseph","MelBeyrouth"
"Mélanges de la Casa de Velázquez. Antiquité et moyen âge","MelCasaVelazquez"
"Mémoires de l'Académie des inscriptions et belles-lettres","MemAcInscr"
"Memoirs of the American Academy in Rome","MemAmAc"
"Memoria antiquitatis. Acta Musei Petrodavensis. Revista Muzeului arheologic Piatra Neamţ","MemAnt"
"Mémoires de la Société nationale des antiquaires de France","MemAntFr"
"Memoria. Universidad de Barcelona, Instituto de arqueología y prehistoria","MemBarcelA"
"Atti de la Accademia delle scienze dell'Istituto di Bologna. Memorie","MemBologna"
"Memorias de historia antigua (Universidad de Oviedo)","MemHistAnt"
"Mémoires de l'Institut national de France","MemInstNatFr"
"Atti dell'Accademia nazionale dei Lincei, Classe di scienze morali, storiche e filologiche. Memorie","MemLinc"
"Memorie dell'Accademia di archeologia, lettere e belle arti di Napoli","MemNap"
"Atti della Pontificia accademia romana di archeologia. Memorie","MemPontAc"
"Memoria storica. Rivista del Centro studi storici terni","MemStor"
"Memorie storiche forogiuliesi","MemStorFriuli"
"Mérida. Ciudad y patrimonio","Merida"
"Mérida. Excavaciones arqueológicas. Memoria","MeridaMem"
"Meroitica. Schriften zur altsudanesischen Geschichte und Archäologie","Meroitica"
"Mesopotamia. Rivista di archeologia","Mesopotamia"
"Messana. Rassegna di studi filologici, linguistici e storici","Messana"
"Métis. Revue d'anthropologie du monde grec ancien","Metis"
"Metropolitan Museum Journal","MetrMusJ"
"Metropolitan Museum Studies","MetrMusSt"
"Madrider Forschungen","MF"
"Mitteilungen zur frühchristlichen Archäologie in Österreich","MFruehChrOe"
"Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahr 1899","Milet"
"Milesische Forschungen","MilForsch"
"Minima epigraphica et papyrologica. Taccuini della cattedra e del laboratorio di epigrafia e papirologia giuridica dell'Università degli studi di Catanzaro »Magna Graecia«","MinEpigrP"
"Minerva. Revista de filología clásica","Minerva"
"Minos. Revista de filología egea","Minos"
"Mitteilungen. Leichtweiss-Institut für Wasserbau der Technischen Universität Braunschweig","MInstWasser"
"Mitteilungen des Instituts für Orientforschung","MIO"
"Miscellanea di studi di letteratura christiana antica","MiscCrAnt"
"Miscellanea di studi storici","MiscStStor"
"Mitteilungen zur christlichen Archäologie","MitChrA"
"Menschen – Kulturen – Traditionen. Studien aus den Forschungsclustern des Deutschen Archäologischen Instituts","MKT"
"Mitteilungen des Kunsthistorischen Institutes in Florenz","MKuHistFlorenz"
"Mitteilungen zur Kulturkunde","MKul"
"Madrider Mitteilungen","MM"
"Mnemosyne. A Journal of Classical Studies","Mnemosyne"
"Mitteilungen der Österreichischen Numismatischen Gesellschaft","MOeNumGes"
"Monumenti antichi","MonAnt"
"Monumenti inediti pubblicati dall'Istituto Archeologico","MonInst"
"Monuments et mémoires. Fondation E. Piot","MonPiot"
"Monumenti della pittura antica scoperti in Italia","MonPitt"
"Mozia. Rapporto preliminare della missione congiunta con la Soprintendenza alle antichità della Sicilia occidentale","Mozia"
"Mitteilungen der Prähistorischen Kommission der Österreichischen Akademie der Wissenschaften","MPraehistKomWien"
"Monografie della Scuola archeologica di Atene e delle missioni italiane in Oriente","MSAtene"
"Mitteilungen aus dem Heinrich-Schliemann-Museum Ankershagen","MSchliemann"
"Mitteilungsblatt der Schweizerischen Gesellschaft für Ur- und Frühgeschichte","MSchwUrFruehGesch"
"Mitteilungen zur spätantiken Archäologie und byzantinischen Kunstgeschichte","MSpaetAByz"
"Münchner Jahrbuch der bildenden Kunst","MueJb"
"Münchner Beiträge zur Vor- und Frühgeschichte","MuenchBeitrVFG"
"Münchener Studien zur Sprachwissenschaft","MuenchStSprWiss"
"Münzen und Medaillen","MuM"
"Museum Africum. West African Journal of Classical and Related Studies","MusAfr"
"Μουσείο Μπενάκη","MusBenaki"
"Museum criticum","MusCrit"
"Muse. Annual of the Museum of Art and Archaeology, University of Missouri, Columbia","Muse"
"Le Muséon. Revue d'études orientales","Museon"
"Museum. A Quarterly Review Published by UNESCO","MuseumUnesco"
"Musei Ferraresi. Bollettino annuale","MusFerr"
"Musei e gallerie d'Italia","MusGalIt"
"Museum Haaretz, Tel Aviv. Yearbook","MusHaaretz"
"Museum Helveticum","MusHelv"
"Museen in Köln. Bulletin","MusKoeln"
"Museum Notes. The American Numismatic Society","MusNotAmNumSoc"
"El Museo de Pontevedra","MusPontevedra"
"Museo in rivista. Notiziario dei Musei civici di Pavia","MusRiv"
"Museum Tusculanum. København","MusTusc"
"A Móra Ferenc múzeum évkönyve","MuzEvkSzeged"
"MuzeulnaionalBucureti","MuzNa"
"Muzei i pametnici na kulturata","MuzPamKul"
"Nachrichtenblatt Arbeitskreis Unterwasserarchäologie","NachrArbUWA"
"Napoli nobilissima","NapNobil"
"Nassauische Annalen","NassAnn"
"Nachrichten der Akademie der Wissenschaften in Göttingen. Philologisch-Historische Klasse","NAWG"
"News Bulletin and Calendar. Worcester Art Museum","NBWorcArtMus"
"Neue Ephemeris für semitische Epigraphik","NEphemSemEpigr"
"Newsletter of the Netherlands Institute at Athens","NewsletterAthen"
"Newsletter. Department of Pottery Technology, University of Leiden","NewsletterPotTech"
"Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen. Philologisch-Historische Klasse","NGWG"
"Nigeria and the Classics","NigCl"
"Nikephoros. Zeitschrift für Sport und Kultur im Altertum","Nikephoros"
"Nin. Journal of Gender Studies in Antiquity","Nin"
"American Numismatic Society. Numismatic Notes and Monographs","NNM"
"Νομισματικά Χρονικά. Περιοδική Έκδωσις της Ελληνικής Νομισματικής Εταιρείας","NomChron"
"Norba. Revista de arte, geografía e historia","Norba"
"Nordisk numismatisk årsskrift. Utgiven av Kungliga vitterhets historie och antikvitets akademien i samarbete med Nordisk numismatisk union","NordNumArs"
"Notizie archeologiche bergomensi. Periodico di archeologia del Civico museo archeologico di Bergamo","NotABerg"
"Noticiario arqueológico hispánico. Arqueología","NotAHisp"
"Noticiario arqueológico hispánico. Prehistoria","NotAHispPrehistoria"
"Notiziario. Museo civico, Associazione archeologica, Allumiere","NotAllumiere"
"Notiziario. Soprintendenza archeologica della Lombardia","NotALomb"
"Notizie dal chiostro del monastero maggiore. Rassegna di studi del Civico museo archeologico e del Civico gabinetto numismatico di Milano","NotMilano"
"La nouvelle Clio","NouvClio"
"Novaensia. Badania Ekspedycji archeologicznej Uniwersytetu warszawskiego w Novae","Novaensia"
"Notizie degli scavi di antichità","NSc"
"Nuovi studi fanesi","NStFan"
"Nubia christiana","NubChr"
"Nubian Letters","NubLet"
"Nürnberger Blätter zur Archäologie. Publikationsreihe des Bildungszentrums der Stadt Nürnberg, Fachbereich Archäologie","NueBlA"
"Numismatica e antichità classiche. Quaderni ticinesi","NumAntCl"
"Numantia. Investigaciones arqueológicas en Castilla y León","Numantia"
"The Numismatic Chronicle. The Journal of the Royal Society","NumChron"
"Numen. International Review for the History of Religions","Numen"
"Numizmatika i epigrafika","NumEpigr"
"Numisma. Revista de la Sociedad iberoamericana de estudios numismáticos","Numisma"
"Numismatica. Periodico di cultura e di informazione numismatica","NumismaticaRom"
"Numizmatičar. Casopis za anticki i stari jugoslavenski novac","Numizmaticar"
"Nummus. Sociedade portuguesa de numismatica","Nummus"
"Numismatische Zeitschrift","NumZ"
"Nuovo Didaskaleion","NuovDidask"
"Occasional Publications in Classical Studies","OccasPublClSt"
"Occident and Orient","OccOr"
"W. Dittenberger, Orientis Graeci inscriptiones selectae (Leipzig 1903--­1905)","OGIS"
"Jahreshefte des Österreichischen Archäologischen Institutes in Wien","OeJh"
"Olympische Forschungen","OF"
"Offa. Berichte und Mitteilungen zur Urgeschiche, Frühgeschichte und Mittelalterarchäologie","Offa"
"Ogam. Bulletin des Amis de la tradition celtique","Ogam"
"Oikumene. Studia ad historiam antiquam classicam et orientalem pertinentia","Oikumene"
"Oriental Institute Publications","OIP"
"Olba. Mersin Üniversitesi Kilikia Arkeolojisini Araştırma Merkezi yayınları","Olba"
"Bericht über die Ausgrabungen in Olympia","OlBer"
"Olympia. Die Ergebnisse der von dem Deutschen Reich veranstalteten Ausgrabung (Berlin 1890--­1897)","Olympia"
"Excavations at Olynthus","Olynthus"
"Orientalistische Literaturzeitung","OLZ"
"Skrifter utgivna av Svenska institutet i Rom. Opuscula archaeologica","OpArch"
"Opuscula Atheniensia","OpAth"
"Opuscula Instituti Romani Finlandiae","OpFin"
"Opuscula Pompeiana","OpPomp"
"Opuscula Romana","OpRom"
"Opus. Rivista internazionale per la storia economica e sociale dell’antichità","Opus"
"Orientalia (Pontificio Istituto biblico)","Or"
"Orient-Archäologie","OrA"
"Oriens antiquus. Rivista del Centro per le antichità e la storia dell’arte del Vicino Oriente","OrAnt"
"Orbis terrarum. Internationale Zeitschrift für historische Geographie der Alten Welt","OrbTerr"
"Oriens christianus","OrChr"
"Orientalia christiana periodica","OrChrPer"
"Ordona. Rapports et études","Ordona"
"Orient. The Reports of the Society for Near Eastern Studies in Japan","Orient"
"Origini. Preistoria e protostoria delle civiltà antiche","Origini"
"Orizzonti. Rassegna di archeologia","Orizzonti"
"Orpheus. Rivista di umanità classica e cristiana","Orpheus"
"Orpheus. Journal of Indo-European, Palaeo-Balkan and Thracian Studies","OrpheusThracSt"
"Orientalia Suecana. An International Journal of Indological, Iranian, Semitic, Turkic Studies","OrSu"
"Osjekizbornik","OsjZbor"
"Ostbairische Grenzmarken. Passauer Jahrbuch für Geschichte, Kunst und Volkskunde","OstbGrenzm"
"Ostraka. Rivista di antichità","Ostraka"
"Oudheidkundige mededelingen uit het Rijksmuseum van oudheden te Leiden","OudhMeded"
"Oxford Journal of Archaeology","OxfJA"
"Oxford Studies in Ancient Philosophy","OxfStPhilos"
"Pact. Revue du Groupe européen d’études pour les techniques physiques, chimiques et mathématiques appliquées à l’archéologie","Pact"
"Padusa. Bolletino del Centro polesano di studi storici, archeologici ed etnografici, Rovigo","Padusa"
"Pagine di archeologia. Studi e materiali","PagA"
"Polevye archeologičeskie issledovanija","PAI"
"Paideuma. Mitteilungen zur Kulturkunde","Paideuma"
"Palaeohistoria. Acta et communicationes Instituti bio-archaeologici universitatis Groninganae","Palaeohistoria"
"Paleohispánica. Revista sobre lenguas y culturas de la Hispania antigua","Paleohispanica"
"Palladio. Rivista di storia dell’architettura","Palladio"
"Pallas. Revue d’études antiques","Pallas"
"Palmet. Sadberk Hanım Müzesi yıllığı","Palmet"
"Památky archeologické","PamA"
"Pan. Studi dell’Istituto di filologia latina","Pan"
"Papeles Bilbilitanos","PapBilb"
"Papyri. Bollettino del Museo del papiro","Papyri"
"Parthica. Incontri di culture nel mondo antico","Parthica"
"Partenope. Rivista trimestrale di cultura napoletana","Partenope"
"Prähistorische Archäologie in Südosteuropa","PAS"
"Prähistorische Bronzefunde","PBF"
"Pegasus. Berliner Beiträge zum Nachleben der Antike","Pegasus"
"Palestine Exploration Quarterly","PEQ"
"Peristil. Zbornik radova za povijest umjetnosti","Peristil"
"Persica. Jaarboek van het Genootschap Nederland-Iran, Stichting voor culturele betrekkingen","Persica"
"Peuce. Studii şi comunicări de istorie veche, arheologie şi numismatică","Peuce"
"Pergamenische Forschungen","PF"
"Pharos. Journal of the Netherlands Institute at Athens","Pharos"
"Philologus. Zeitschrift für das klassische Altertum","Philologus"
"Phoenix. The Journal of the Classical Association of Canada","Phoenix"
"Phoenix. Bulletin uitgegeven door het Vooraziatisch-Egyptisch Genootschap »Ex Oriente Lux«","PhoenixExOrLux"
"Phoibos. Bulletin du Cercle de philologie classique et orientale de l’Université libre de Bruxelles","Phoibos"
"Phronesis. A Journal for Ancient Philosophy","Phronesis"
"Picus. Studi e ricerche sulle Marche nell’antichità","Picus"
"Prosopographia Imperii Romani","LPIR"
"Propyläen Kunstgeschichte","PKG"
"Πλάτον. Δελτίον της Εταιρείας Ελλήνων Φιλολόγων","Platon"
"Papyrologica Lupiensia","PLup"
"Polish Archaeology in the Mediterranean","PolAMed"
"Πολέμων. Αρχαιολογικόν Περιοδικόν","Polemon"
"Polis. Revista de ideas y formas políticas de la antigüedad clásica","Polis"
"Pompeii, Herculaneum, Stabiae. Bolletino. Associazione internazionale Amici di Pompei","PompHercStab"
"Pontica. Studii şi materiale de istorie, arheologie şi muzeografie, Constanţa","Pontica"
"Portugália. Revista do Instituto de arqueologia da Faculdade de letras da Universidade do Porto","Portugalia"
"La parola del passato","PP"
"Pompei: Pitture e mosaici. Enciclopedia dell’arte antica classica e orientale","PPM"
"Prace archeologiczne","PraceA"
"Prace i materialy Muzeum archeologicznego i etnograficznego w Łodzi","PraceMatLodz"
"Πρακτικά της εν Αθήναις Αρχαιολογικής Εταιρείας","Prakt"
"Πρακτικά της Ακαδημίας Αθηνών","PraktAkAth"
"Preistoria alpina. Museo tridentino di scienze naturali","PreistAlp"
"Prilozi Instituta za arheologiju u Zagrebu","PriloziZagreb"
"Principe di Viana","PrincViana"
"Problemi na izkustvoto. Trimesecno spisanie za estetika, teorija, istorija i kritika na izkustvoto","ProblIsk"
"The Proceedings of the African Classical Associations","ProcAfrClAss"
"Proceedings of the Cambridge Philological Society","ProcCambrPhilSoc"
"Proceedings of the Danish Institute at Athens","ProcDanInstAth"
"Proceedings of the Prehistoric Society","ProcPrehistSoc"
"Prometheus. Rivista quadrimestrale di studi classici","Prometheus"
"Prospezioni archeologiche. Quaderni","ProspAQuad"
"Prospettiva. Rivista di storia dell’arte antica e moderna","Prospettiva"
"Prospezioni. Bollettino di informazioni scientifiche","Prospezioni"
"Provence historique","ProvHist"
"La provincia di Lucca","ProvLucca"
"Publicaciones de la Institución »Tello Téllez de Meneses«","PublInstTTMeneses"
"Pulpudeva. Semaines philippopolitaines de l’histoire et de la culture thrace","Pulpudeva"
"Puteoli. Studi di storia antica","Puteoli"
"Pyrenae. Crónica arqueológica","Pyrenae"
"Prähistorische Zeitschrift","PZ"
"The Quarterly of the Department of Antiquities in Palestine","QDAP"
"Quaderns d’arqueologia i història de la ciutat (Barcelona)","QuadABarcel"
"Quaderni. Soprintendenza archeologica per la provincie di Cagliari e Oristano","QuadACagl"
"Quaderni del Dipartimento delle arti, Università della Calabria","QuadACal"
"Quaderni di archeologia della Libia","QuadALibya"
"Quaderni di archeologia del Mantovano","QuadAMant"
"Quaderni di archeologia, Università di Messina","QuadAMess"
"Quaderni del Gruppo archeologico ostigliese","QuadAOst"
"Quaderni della Soprintendenza archeologica del Piemonte","QuadAPiem"
"Quaderni aquileiesi","QuadAquil"
"Quaderni d’archeologia reggiana","QuadAReggio"
"Quaderni di archeologia del Veneto","QuadAVen"
"Quaderns de prehistòria i arqueologia de Castelló","QuadCast"
"Quaderni catanesi di studi classici e medievali","QuadCat"
"Quaderni dell’Istituto di archeologia e storia antica, Università di Chieti","QuadChieti"
"Quaderni erbesi. Civico museo archeologico di Erba","QuadErb"
"Quaderni friulani di archeologia","QuadFriulA"
"Quaderni di Gerico","QuadGerico"
"Quaderni dell’Istituto di filologia greca","QuadIstFilGr"
"Quaderni dell’Istituto di lingua e letteratura latina, Università di Roma","QuadIstLat"
"Quaderni. Istituto di lingue e letterature classiche, Facoltà di magistero, Università degli studi, Lecce","QuadLecce"
"Museo civico Pontecorvo. Quaderni","QuadMusPontecorvo"
"Quaderni del Museo archeologico regionale Antonino Salinas","QuadMusSalinas"
"Quaderni di protostoria. Università di Perugia","QuadProtost"
"Quaderni. Centro studi lunensi","QuadStLun"
"Quaderni di storia","QuadStor"
"Quaderni storici","QuadStorici"
"Quaderni urbinati di cultura classica","QuadUrbin"
"Quaternaria. Storia naturale e culturale del quaternario","Quaternaria"
"Revue archéologique","RA"
"Revue des archéologues et historiens d’art de Louvain","RAArtLouv"
"Reallexikon für Antike und Christentum","RAC"
"Revue archéologique du Centre de la France","RACFr"
"Rivista archeologica dell’antica provincia e diocesi di Como","RAComo"
"Rivista di archeologia cristiana","RACr"
"Radovi Zavoda za povijesne znanosti, Hrvatska akademija znanosti i umjetnosti u Zadru","RadAkZadar"
"Radiocarbon. An International Journal of Cosmogenic Isotope Research","Radiocarbon"
"Radovi. Razdio povijesnih znanosti","RadSplit"
"Revue archéologique de l’Est et du Centre-Est","RAE"
"Raggi. Zeitschrift für Kunstgeschichte und Archäologie","Raggi"
"Revista de arqueología","RAMadrid"
"Revue archéologique de Narbonnaise","RANarb"
"Revista d’arqueologia de Ponent","RAPon"
"Raporty wykopaliskowe","RapWyk"
"Revista de archivos, bibliotecas y museos","RArchBiblMus"
"Revue d’archéométrie","RArcheom"
"La revue des arts. Musées de France","RArtMus"
"Rassegna di archeologia. Associazione archeologica piombinese","RassAPiomb"
"Rassegna del Lazio","RassLazio"
"Rassegna storica salernitana","RassStorSalern"
"Rassegna volterrana","RassVolt"
"Revue d’assyriologie et d’archéologie orientale","RAssyr"
"Ratiariensia. Studi e materiali mesici e danubiani","Ratiariensia"
"Revista atlántica-\-mediterránea de prehistoria y arqueología social","RAtlMed"
"Ravenna studi e ricerche","RavStRic"
"Raydan. Journal of the Ancient Yemeni Antiquities and Epigraphy","Raydan"
"Revue biblique","RB"
"Revue belge de numismatique et de sigillographie","RBelgNum"
"Revue belge de philologie et d’histoire","RBelgPhilHist"
"Reallexikon zur byzantinischen Kunst","LRBK"
"Rivista di cultura classica e medioevale","RCulClMedioev"
"Rivista di archeologia","RdA"
"Report of the Department of Antiquities, Cyprus","RDAC"
"Revue d’égyptologie (Kairo)","RdE"
"Revue internationale des droits de l’antiquité","RDroitsAnt"
"Paulys Realencyclopädie der classischen Altertumswissenschaft","RE"
"Revue des études anciennes","REA"
"Revue des études byzantines","REByz"
"Recueil des notices et memoires de la Société archéologique du département de Constantine","RecConstantine"
"Recherches archéologiques. Institut d’archéologie de l’Université de Cracovie","RechACrac"
"Recherches albanologiques","RechAlb"
"Recerques del Museu d’Alcoi","RecMusAlcoi"
"Recueil de travaux relatifs à philologie et l’archéologie égyptiennes et assyriennes","RecTrav"
"Revue des études grecques","REG"
"Rei Cretariae Romanae Fautorum acta","ReiCretActa"
"Rei Cretariae Romanae Fautores. Communicationes","ReiCretCommunic"
"Revue des études latines","REL"
"Ρήμα. Mitteilungen zur indogermanischen, vornehmlich indo-iranischen Wortkunde sowie zur holothetischen Sprachtheorie","Rema"
"Atti della Accademia delle scienze dell’Istituto di Bologna. Rendiconti","RendBologna"
"Rendiconti. Classe di lettere e scienze morali e storiche, Istituto lombardo, Accademia di scienze e lettere","RendIstLomb"
"Rendiconti dell’Accademia nazionale dei Lincei, Classe di scienze morali, storiche e filologiche","RendLinc"
"Rendiconti della Accademia di archeologia, lettere e belle arti, Napoli","RendNap"
"Rendiconti. Atti della Pontificia accademia romana di archeologia","RendPontAc"
"Report on the Working of the Museum Department, Malta, Department of Information","RepMalta"
"Reppal. Revue des études phénicienne-puniques et des antiquités libyques","Reppal"
"Annual Report. The Society for Libyan Studies","RepSocLibSt"
"Répertoire d’épigraphie sémitique (Paris 1900--1950)","RES"
"Revista de estudios ibéricos","REstIber"
"Revue des études arméniennes","REtArm"
"Revue égyptologique (Paris)","RevEg"
"Rivista di filologia e di istruzione classica","RFil"
"Revue des études géorgiennes et caucasiennes","RGeorgCauc"
"Römisch-Germanische Forschungen","RGF"
"Revista de Guimarães","RGuimar"
"Revue hittite et asianique","RHA"
"Das Rheinische Landesmuseum Bonn. Berichte aus der Arbeit des Museums","RheinMusBonn"
"Revue historique des armées","RHistArmees"
"Revue de l’histoire des religions","RHistRel"
"Rheinisches Museum für Philologie","RhM"
"Rivista dell’Istituto nazionale d’archeologia e storia dell’arte","RIA"
