"WORDS";"ABBREVIATIONS";"LANGUAGES"
"lachend-";"n.a.";"dut"
"Lachute";"n.a.";"fre"
"łacińsk-";"łac.";"pol"
"lackfabrika-";"lackfabr.";"ger"
"Lackier-";"Lack.";"ger"
"läcktekni-";"läcktek.";"swe"
"Lackwanna";"n.a.";"eng"
"lacquer";"lacq.";"eng"
"lact-";"lact.";"eng, fre"
"lácteo";"láct.";"spa"
"lactogenic";"lactog.";"eng"
"lactolog-";"lactol.";"fre, eng"
"lactosevrij-";"n.a.";"dut"
"ła̢czność";"ła̢cz.";"pol"
"ladang";"ldng.";"may"
"laden";"lad.";"ger"
"Ladenburg";"Ladenbg.";"ger"
"la̢dowy";"la̢d.";"pol"
"ladrillo";"n.a.";"spa"
"Ladung";"Lad.";"ger"
"ladybug";"n.a.";"eng"
"laege";"n.a.";"nor"
"lægeforening-";"lægeforen.";"nor, dan"
"lægegerning";"lægeg.";"dan"
"lægekredsforening";"lægekredsforen.";"dan"
"lægelig";"lægel.";"dan"
"læger";"læg.";"dan, swe"
"lægevidenskab";"lægevidensk.";"dan"
"lægevidenskap-";"lægevidensk.";"dan"
"læknablad";"læknabl.";"ice"
"lærarhøgskule";"lærarhøgsk.";"nor"
"Lærdal";"n.a.";"nor"
"lærdomshistori-";"lærdomshist.";"nor, swe, dan"
"lære-";"lær.";"nor"
"læreanstalt";"læreanst.";"dan"
"lærebokregister";"lærebokregist.";"nor"
"læremiddel";"lærem.";"nor"
"lærerhøgskole";"lærerhøgsk.";"nor"
"lærerinde";"n.a.";"nor"
"lærerlag";"n.a.";"nor"
"lærernytt";"n.a.";"nor"
"lærerutdanning";"lærerutdann.";"nor"
"lærerveiledning";"lærerveil.";"nor"
"læring";"n.a.";"nor"
"lærlinge";"lærl.";"dan"
"læselig";"læs.";"dan"
"læsning";"læs.";"dan"
"laevandus";"laev.";"est"
"Lagebericht";"Lageber.";"ger"
"Lagekunst";"n.a.";"ger"
"Lager";"n.a.";"ger"
"Lagerbehälter";"Lagerbehält.";"ger"
"Lagerbestand";"n.a.";"ger"
"lagere";"n.a.";"dut"
"Lagerei";"Lager.";"ger"
"Lagerkatalog";"Lagerkat.";"ger"
"Lagerlöfsällskap-";"Lagerlöfsällsk.";"swe"
"lagern";"n.a.";"ger"
"Lagerstättenarchiv-";"Lagerstättenarch.";"ger"
"Lagerstättenerfassung";"Lagerstättenerfass.";"ger"
"Lagerstättenforschung-";"Lagerstättenforsch.";"ger"
"Lagerstättengeol-";"Lagerstättengeol.";"ger"
"Lagerstättenkund-";"Lagerstättenkd.";"ger"
"Lagertechnik";"Lagertech.";"ger"
"Lagerung";"Lager.";"ger"
"Lagerverkehr";"Lagerverk.";"ger"
"Lagerwirtschaft";"Lagerwirtsch.";"ger"
"lägesrapport-";"lägesrapp.";"swe"
"Lagos";"n.a.";"eng"
"lagskipning";"lagskip.";"swe"
"lågstad-";"lågstad.";"swe"
"lagstiftning";"lagstiftn.";"swe"
"laguna";"n.a.";"ita"
"lagunero";"n.a.";"spa"
"lahan";"n.a.";"ind"
"lähde";"n.a.";"fin"
"lahendus";"lahend.";"est"
"lähetyslehti";"lähetysl.";"fin"
"lähetysseura";"lähetyss.";"fin"
"Lahnau";"n.a.";"ger"
"Lahnfreund";"n.a.";"ger"
"Lahntal";"n.a.";"ger"
"Lahore";"n.a.";"eng"
"lahtarista";"lahtar.";"gre"
"Laichingen";"Laich.";"ger"
"laici-";"laic.";"spa"
"laïcité";"laïc.";"fre"
"Laienarbeit";"Laienarb.";"ger"
"laïk-";"laïk.";"gre"
"laikin-";"laik.";"lit"
"laikraksts";"laikr.";"lav"
"laikrasštis";"laikr.";"lit"
"laiks";"n.a.";"lav"
"laimėti";"n.a.";"lit"
"lainière";"lain.";"fre"
"lainopillinen";"lainop.";"fin"
"lainsäädän-";"lainsääd.";"fin"
"lainvalmisteluosasto";"lainvalmisteluos.";"fin"
"laïque";"n.a.";"fre"
"laiškas";"laišk.";"lit"
"laisser";"n.a.";"fre"
"laisvalaik-";"laisval.";"lit"
"laiterie";"lait.";"fre"
"laitetekniikka";"laitetek.";"fin"
"laitier-";"lait.";"fre"
"laitoks-";"laitok.";"fin"
"laitos";"n.a.";"fin"
"laivainsinöörien";"laivains.";"fin"
"läkare";"läk.";"swe"
"läkareförening";"läkarefören.";"swe"
"läkaresällskap-";"läkaresällsk.";"swe"
"läkarintyg";"läkarint.";"swe"
"ła̢karsk-";"ła̢k.";"pol"
"läkartidning-";"läkartidn.";"swe"
"lakás";"lak.";"hun"
"lakásépítés";"lakép.";"hun"
"lakáskultúra";"lakkult.";"hun"
"lakásmegszünés";"lakmegsz.";"hun"
"lakásstatisztika";"lakstat.";"hun"
"lakásszövetkezet";"lakszöv.";"hun"
"lakcím";"lakc.";"hun"
"lakcímnyilvántartás";"lakcnyilvtart.";"hun"
"Lakefield";"n.a.";"eng"
"Lakeland";"Lakel.";"eng"
"läkemedel";"läkemed.";"swe"
"lakenhal";"n.a.";"dut"
"Lakeshore";"n.a.";"eng"
"Laketown";"Laket.";"eng"
"lakeus";"n.a.";"fin"
"lakier";"n.a.";"pol"
"lakikokoelma";"lakikok.";"fin"
"lakimies";"lakim.";"fin"
"lakokrasočn-";"lakokras.";"rus"
"lakōnik-";"lakōn.";"gre"
"lakosság";"lakoss.";"hun"
"lakóterület";"lakóterül.";"hun"
"Laksefjorden";"n.a.";"nor"
"Laktaši";"n.a.";"hrv"
"lamahu";"n.a.";"ind"
"lamaze";"n.a.";"eng"
"Lamballe";"n.a.";"fre"
"Lambarene";"n.a.";"mul"
"lambda";"n.a.";"mul"
"łambinowic-";"łambin.";"pol"
"Lambton";"Lambt.";"eng"
"lamiera";"n.a.";"ita"
"lámina";"n.a.";"spa"
"Lamont-Doherty";"n.a.";"eng"
"Lampertheim";"Lamperth.";"ger"
"lampeter";"n.a.";"eng"
"lämpöjohtokomitea";"lämpöjohtokom.";"fin"
"lämpökäsittely";"lämpökäs.";"fin"
"lämpölaitosten";"lämpöl.";"fin"
"lampoon";"n.a.";"eng"
"lämpötekniika";"lämpötek.";"fin"
"lämpötila";"lämpöt.";"fin"
"Lamspringe";"n.a.";"ger"
"Lanark";"n.a.";"eng"
"lanaudière";"n.a.";"fre"
"Lancashire";"Lancs.";"eng"
"Lancaster";"Lanc.";"eng"
"lancet";"n.a.";"eng"
"lancette";"n.a.";"fre"
"lancisiana";"n.a.";"ita"
"land";"n.a.";"ger, eng"
"landarbeider";"landarb.";"nor"
"Landarbeit";"Landarb.";"ger"
"Landarzt";"n.a.";"ger"
"Landau-";"Landau.";"ger"
"Landbau";"n.a.";"ger"
"Landbauabteilung";"Landbauabt.";"ger"
"Landbauforschung-";"Landbauforsch.";"ger"
"Landbauprojekt";"Landbauproj.";"ger"
"Landbauwissenschaft-";"Landbauwiss.";"ger"
"landbohøjskol-";"landbohøjsk.";"dan"
"Landbote";"n.a.";"ger"
"landbou";"n.a.";"afr"
"landboukund-";"landboukd.";"dut"
"landbouvoorligting";"landbouvoorligt.";"afr"
"landbouw";"n.a.";"dut"
"landbouwadviescommissie";"landbouwadviescomm.";"dut"
"landbouwdocument-";"landbouwdoc.";"dut"
"landbouwgewas";"n.a.";"dut"
"landbouwgronden";"n.a.";"dut"
"landbouwhogeschool";"landbouwhogesch.";"dut"
"landbouwhuisdier-";"n.a.";"dut"
"landbouwhuishoudscholen";"landbouwhuishoudsch.";"dut"
"landbouwinstituut";"landbouwinst.";"dut"
"landbouwkrediet";"n.a.";"dut"
"landbouwkund-";"landbouwkd.";"dut"
"landbouwmachine";"landbouwmach.";"dut"
"landbouwonderwijs";"n.a.";"dut"
"landbouwplantenteelt";"landbouwplantent.";"dut"
"landbouwproefstation";"landbouwproefstn.";"dut"
"landbouwpublikat-";"landbouwpubl.";"dut"
"landbouwschap";"landbouwsch.";"dut"
"landbouwstatisti-";"landbouwstat.";"dut"
"landbouwstudie";"landbouwstud.";"dut"
"landbouwuniversiteit";"landbouwuniv.";"dut"
"landbouwwetenschap-";"landbouwwet.";"dut"
"landbouwzaaizad";"n.a.";"dut"
"landbrug";"landbr.";"swe"
"landbruk";"landbr.";"nor"
"landbúnað-";"landbún.";"ice"
"landbúnaðardeilar";"landbúnaðard.";"ice"
"landbúnaðarins";"landbún.";"ice"
"landbúnaðarrannsokn-";"landbúnaðarranns.";"ice"
"Ländchen";"n.a.";"ger"
"lande";"n.a.";"fre"
"landelijk-";"land.";"dut"
"landemode";"landem.";"dan"
"landeneditie";"landened.";"dut"
"Landentwicklung-";"Landentwickl.";"ger"
"Länder";"n.a.";"ger"
"Länderausschuss";"Länderaussch.";"ger"
"Länderbank";"n.a.";"ger"
"Länderbericht";"Länderber.";"ger"
"Länderfinanzministerium";"Länderfinanzminist.";"ger"
"Länderkunde";"Länderkd.";"ger"
"Länderkurzbericht-";"Länderkurzber.";"ger"
"Länderspiegel";"Länderspieg.";"ger"
"Länderverwaltung";"Länderverwalt.";"ger"
"Landes";"n.a.";"fre"
"Landesamt";"n.a.";"ger"
"Landesanstalt-";"Landesanst.";"ger"
"Landesarbeit";"Landesarb.";"ger"
"Landesarchiv";"Landesarch.";"ger"
"Landesärztekammer";"Landesärztekamm.";"ger"
"Landesaufnahme";"Landesaufn.";"ger"
"Landesausgabe";"Landesausg.";"ger"
"Landesausschuss";"Landesaussch.";"ger"
"Landesbank";"n.a.";"ger"
"Landesbausparkasse";"n.a.";"ger"
"Landesbeauftragter";"Landesbeauftr.";"ger"
"Landesbehörde";"n.a.";"ger"
"Landesbibliographie";"Landesbibliogr.";"ger"
"Landesbibliothek";"Landesbibl.";"ger"
"Landesbildstelle";"n.a.";"ger"
"Landesbund";"n.a.";"ger"
"Landesdurchforschung-";"Landesdurchforsch.";"ger"
"Landesentwicklung";"Landesentwickl.";"ger"
"Landesexekutive";"Landesexek.";"ger"
"Landesforst";"n.a.";"ger"
"Landesforstverwaltung";"Landesforstverwalt.";"ger"
"Landesfürstlich-";"Landesfürst.";"ger"
"Landesgericht";"Landesger.";"ger"
"Landesgeschichte";"Landesgesch.";"ger"
"Landesgesetz";"n.a.";"ger"
"Landesgewerbe";"Landesgew.";"ger"
"Landesgruppe";"Landesgr.";"ger"
"Landeshauptarchiv";"Landeshauptarch.";"ger"
"Landeshauptstadt";"n.a.";"ger"
"Landeshaushaltsrechnung";"Landeshaushaltsrechn.";"ger"
"Landeshydrologie";"Landeshydrol.";"ger"
"Landesinstitut";"Landesinst.";"ger"
"Landesjagdverband";"Landesjagdverb.";"ger"
"Landesjugendring";"n.a.";"ger"
"Landeskirche";"n.a.";"ger"
"Landeskirchentag";"n.a.";"ger"
"Landeskriminal";"Landeskrim.";"ger"
"Landeskultur-";"Landeskult.";"ger"
"Landeskunde";"Landeskd.";"ger"
"landeskundlich-";"landeskdl.";"ger"
"Landesmuseum-";"Landesmus.";"ger"
"Landesnotarkammer";"Landesnotarkamm.";"ger"
"Landespflege";"Landespfl.";"ger"
"Landesplan";"Landespl.";"ger"
"Landesplanung";"Landesplan.";"ger"
"Landesrecht";"Landesr.";"ger"
"Landesregierung";"Landesregier.";"ger"
"Landessinnung";"Landesinn.";"ger"
"landesstatistisch-";"landesstat.";"ger"
"Landesstelle";"n.a.";"ger"
"Landessternwarte";"n.a.";"ger"
"Landesstiftung";"Landesstift.";"ger"
"Landessynode";"n.a.";"ger"
"Landesteil";"Landestl.";"ger"
"Landestheater";"n.a.";"ger"
"Landesumweltamt";"n.a.";"ger"
"Landesverband";"Landesverb.";"ger"
"Landesverein";"Landesver.";"eng"
"Landesvereinigung";"Landesver.";"ger"
"Landesverfügung";"Landesverfüg.";"ger"
"Landesverordung";"Landesverordn.";"ger"
"Landesversuch";"Landesvers.";"ger"
"Landeswahlleiter";"Landeswahlleit.";"ger"
"Landeszeitung";"Landesztg.";"ger"
"Landeszentral-";"Landeszent.";"ger"
"landevei";"n.a.";"nor"
"landfall";"n.a.";"eng"
"landform";"landf.";"eng"
"Landgemeinde";"Landgem.";"ger"
"landgræðsl-";"landgræðsl.";"ice"
"landhervorming";"landhervorm.";"dut"
"landing";"land.";"eng"
"Landjugend";"n.a.";"ger"
"landkaart";"n.a.";"dut"
"Landkarte";"Landkt.";"ger"
"Landkreis";"Landkr.";"ger"
"Landkultur";"landkult.";"ger"
"ländlich";"ländl.";"ger"
"landline";"n.a.";"eng"
"landlord";"n.a.";"eng"
"landmacht";"n.a.";"dut"
"landmachtstaf";"n.a.";"dut"
"landmåling";"landmål.";"nor"
"landmannsblad";"landsmannsbl.";"nor"
"Landmark";"n.a.";"eng"
"Landmaschine";"Landmasch.";"ger"
"Landnutzung";"Landnutz.";"ger"
"landökonom-";"landökon.";"ger"
"Landolt";"n.a.";"ger"
"landowning";"landown.";"eng"
"Landpost";"n.a.";"ger"
"Landpraxis";"Landprax.";"ger"
"landrac-";"landrac.";"eng"
"Landrace";"n.a.";"eng"
"Landrat";"n.a.";"ger"
"Landsat";"n.a.";"eng"
"landsavdelning-";"landsavd.";"swe"
"Landsberg";"Landsb.";"ger"
"landsbibliotek";"landsbibl.";"swe"
"landsbókasafn";"landsbókas.";"ice"
"Landsbygdens";"n.a.";"swe"
"landscape";"landsc.";"eng"
"Landschaft";"Landsch.";"ger"
"landschap";"landsch.";"dut"
"landsforbund";"landsforb.";"nor"
"landsforening";"landsforen.";"nor"
"landsgruppe";"landsgr.";"nor"
"landshaftoveden-";"landshaftoved.";"rus"
"Landshut";"n.a.";"ger"
"landskab";"landsk.";"dan"
"landskap";"landsk.";"swe"
"Landskrona";"Landskr.";"swe"
"landslag";"n.a.";"nor"
"landsmål";"n.a.";"swe"
"Landsmannschaft";"Landsmannsch.";"ger"
"landsmøde";"n.a.";"dan"
"landsorganisation";"landsorgan.";"dan"
"Landspiegel";"Landspieg.";"ger"
"landsseminar";"landssemin.";"nor"
"landsting";"landst.";"swe"
"Landstreitkraft";"n.a.";"ger"
"landsudvget";"landsudvg.";"swe"
"Landsweiler";"Landsweil.";"ger"
"Landtag";"n.a.";"ger"
"Landtagswahl";"n.a.";"ger"
"Landtechni-";"Landtech.";"ger"
"landtmän";"n.a.";"swe"
"Landvik";"n.a.";"nor"
"Landvolk";"n.a.";"ger"
"landward";"landw.";"eng"
"Landwirt";"n.a.";"ger"
"Landwirtschaft";"Landwirtsch.";"ger"
"landwirtschaftlich-";"landwirtsch.";"ger"
"laneko";"n.a.";"spa"
"lanero";"n.a.";"spa"
"langage";"lang.";"fre"
"Länge";"n.a.";"ger"
"Langeland";"Langel.";"dan"
"Langenargen-";"Langenarg.";"ger"
"Langenau";"n.a.";"ger"
"Langenboom";"n.a.";"dut"
"Langenfeld";"Langenf.";"ger"
"Langenhagen";"n.a.";"ger"
"Längenmesstechni-";"Längenmesstech.";"ger"
"Längenprüftechnik";"Längenprüftech.";"ger"
"längenverstellbar";"n.a.";"ger"
"Langfilm";"n.a.";"ger"
"Langfrist";"n.a.";"ger"
"langfristig";"langfrist.";"ger"
"langhåret";"n.a.";"dan"
"langit";"n.a.";"ind"
"Langlauf";"n.a.";"ger"
"langlebig";"langleb.";"ger"
"Langley";"n.a.";"eng"
"langs";"n.a.";"nor"
"långschal";"n.a.";"swe"
"Långshytta";"n.a.";"swe"
"långsiktsmotivera";"långsiktsmotiv.";"swe"
"långsiktsplanering";"långsiktsplan.";"swe"
"langtidsplan";"n.a.";"nor"
"language-";"lang.";"eng"
"langue";"lang.";"fre"
"Languedoc";"n.a.";"fre"
"languedocien";"languedoc.";"fre"
"langzaam";"langz.";"dut"
"Langzeit";"n.a.";"ger"
"Langzeitbehandlung-";"Langzeitbehandl.";"ger"
"Langzeittherap-";"Langzeitther.";"ger"
"Langzeitzählstelle-";"n.a.";"ger"
"lanièro";"n.a.";"ita"
"Laniteio";"n.a.";"gre"
"lankai";"lank.";"lit"
"länkar";"n.a.";"swe"
"lankytin-";"lankytin.";"lit"
"lannoittaa";"lann.";"fin"
"lanov-";"lanov.";"cze"
"Lansdowne";"n.a.";"eng"
"lansekap";"lansek.";"ind"
"Lansing";"n.a.";"eng"
"länsirannikko";"länsiran.";"fin"
"länskonstmuse-";"länskonstmus.";"swe"
"länskonstverksamhet-";"länskonstverksamh.";"swe"
"lanslide";"n.a.";"eng"
"länsrapport";"länsrapp.";"swe"
"länsskolnämnd-";"länsskoln.";"swe"
"länsstyrelse";"länsstyr.";"swe"
"låntagning";"låntagn.";"dan"
"lantbruk";"lantbr.";"swe"
"lantern";"n.a.";"eng"
"lanterne";"n.a.";"fre"
"lanthanide";"lanthan.";"eng"
"lantmän";"lantm.";"swe"
"lantmannablad";"lantmannbl.";"swe"
"lantmäteri";"n.a.";"swe"
"lantmäteriverk";"lantmäteriv.";"swe"
"lantras";"n.a.";"swe"
"lantschap";"lantsch.";"dut"
"Lanzarote";"n.a.";"spa"
"laografikos";"laogr.";"gre"
"laparoendoscop-";"laparoendosc.";"eng"
"laparoentoskopik-";"laparoentosk.";"gre"
"laparoscóp-";"laparosc.";"spa"
"laparoscopic";"laparosc.";"eng"
"laparoscopy-";"laparosc.";"eng"
"laparoskopik";"laparosk.";"tur"
"lapidaire";"lapid.";"fre"
"lapidary";"lapid.";"eng"
"lapin";"n.a.";"fre"
"Lapis";"n.a.";"ger"
"lápiz";"n.a.";"spa"
"lapkiadó";"lapk.";"hun"
"Laplandica";"Lapl.";"lat"
"laporan";"lap.";"ind"
"Lappersdorf";"Lappersd.";"ger"
"lapphundsvänner";"n.a.";"swe"
"Lappi";"n.a.";"fin"
"lappohjan";"n.a.";"fin"
"lapponicus";"lapp.";"lat"
"Lappwald";"n.a.";"ger"
"lapset";"laps.";"fin"
"lapsi-";"laps.";"fin"
"lapsus";"n.a.";"lat"
"lapszemle";"lapszle.";"hun"
"lapte";"n.a.";"rum"
"laptop";"n.a.";"eng"
"lapuran";"lap.";"may"
"Laramie";"Laram.";"eng"
"lärare";"lär.";"swe"
"lärarutbildning";"lärarutbild.";"swe"
"Larchmont";"Larchmt.";"eng"
"lärdom";"n.a.";"swe"
"larger";"larg.";"eng"
"largest";"larg.";"eng"
"largeur";"larg.";"fre"
"laringoiatr-";"laringoiatr.";"ita, spa, por"
"laringolog-";"laringol.";"rus"
"Larisa";"n.a.";"gre"
"Larisaïk-";"Laris.";"gre"
"Larkspur";"n.a.";"eng"
"lärkträd";"n.a.";"swe"
"lärmarm";"n.a.";"ger"
"Lärmbekämpfung";"Lärmbekämpf.";"ger"
"Lärmminderung";"Lärmmind.";"ger"
"Lärmschutzwall";"n.a.";"ger"
"Larnaka";"n.a.";"gre"
"lärobok";"lärob.";"swe"
"läromedel";"läromed.";"swe"
"läroplaner";"läroplan.";"swe"
"läroplansteori";"n.a.";"swe"
"läroverkspojke";"n.a.";"swe"
"larus";"n.a.";"lat"
"larviculture";"larvic.";"eng"
"laryngolog-";"laryngol.";"mul"
"larynx";"n.a.";"fre"
"Larzac";"n.a.";"fre"
"Las Canarias";"Las Canar.";"spa"
"Las Palmas de Gran Canaria";"n.a.";"spa"
"Las Vegas";"n.a.";"eng"
"lasagne";"n.a.";"fre"
"lasallien";"n.a.";"fre"
"läsarägda";"n.a.";"swe"
"lasarett";"lasar.";"swe"
"laser";"n.a.";"mul"
"lasercorp";"n.a.";"eng"
"laserdisk";"n.a.";"eng"
"Lasermedizin";"Lasermed.";"ger"
"laserterap-";"laserter.";"ita"
"láske";"n.a.";"slo"
"laskenta";"lask.";"fin"
"lasot";"n.a.";"lav"
"Lastauto";"n.a.";"ger"
"lasten";"n.a.";"fin"
"Lastenausgleich";"Lastenausgl.";"ger"
"lastenkirjalli-";"lastenkirjall.";"fin"
"lastenklinik-";"lastenklin.";"fin"
"lastenkodit";"n.a.";"fin"
"lastentautien";"n.a.";"fin"
"Lasterbacher";"Lasterb.";"ger"
"Lastkraftfahrzeug";"Lastkraftfahrz.";"ger"
"Lastkraftwagen";"n.a.";"ger"
"lastoevoegmaterialen";"lastoevoegmater.";"dut"
"latarnik";"latar.";"pol"
"Latein";"Lat.";"ger"
"lateinisch-";"lat.";"ger"
"Latènezeit";"n.a.";"ger"
"lateral";"n.a.";"eng"
"lateritisation";"n.a.";"eng"
"laterìzio";"n.a.";"ita"
"latest";"n.a.";"eng"
"Latgal-";"Latg.";"lav"
"latihan";"latih.";"may"
"latijns";"lat.";"dut"
"latin";"lat.";"fre, eng"
"latina-";"lat.";"spa, ita"
"latine-";"lat.";"por"
"latino";"lat.";"spa, ita"
"latinoamérica";"latinoam.";"spa"
"latinoamerican-";"latinoam.";"spa"
"latinonoticia";"latinonot.";"spa"
"latintanítás";"lattan.";"hun"
"latinus";"lat.";"lat"
"latitud";"latid.";"spa"
"latitude";"latit.";"fre"
"Latium";"n.a.";"lat"
"látóhatár";"n.a.";"hun"
"látok";"n.a.";"slo"
"látókör";"n.a.";"hun"
"latterìa";"latt.";"ita"
"lattice";"n.a.";"eng"
"lattièr-";"latt.";"ita"
"lattiero";"latt.";"ita"
"latv-";"latv.";"eng, fre, lav"
"latvij-";"latv.";"lav, rus"
"Laubgehölz";"n.a.";"ger"
"laudatio";"laud.";"lat"
"Lauenburg-";"Lauenbg.";"ger"
"laufen";"lauf.";"ger"
"laufend";"lauf.";"ger"
"Läufer";"Läuf.";"ger"
"lauffener";"lauffen.";"ger"
"laugh-";"laugh.";"eng"
"Lauingen";"Lau.";"ger"
"lauksaimnie-";"lauksaimn.";"lav"
"lauku";"n.a.";"lav"
"laulu";"n.a.";"fin"
"Launceston";"n.a.";"eng"
"launch";"n.a.";"eng"
"laund-";"laund.";"eng"
"Laupheim";"Lauph.";"ger"
"lauréat";"n.a.";"fre"
"laurel";"n.a.";"eng"
"Laurentian";"Laurent.";"eng"
"laurentides";"laurent.";"fre"
"laurier";"n.a.";"fre"
"Laurio";"n.a.";"gre"
"Lausanne";"n.a.";"fre"
"lauseoppi";"n.a.";"fin"
"Lausitz-";"Lausitz.";"ger"
"lausunto";"n.a.";"fin"
"lautakunta";"lautak.";"fin"
"lautanen";"laut.";"fin"
"lautase";"laut.";"fin"
"Lautbibliothek";"Lautbibl.";"ger"
"Laute";"n.a.";"ger"
"lauter";"n.a.";"ger"
"Lauterbach";"Lauterb.";"ger"
"Lautsprecher";"Lautsprech.";"ger"
"Lauzon";"n.a.";"fre"
"lavaggio";"lavag.";"ita"
"Laval";"n.a.";"fre"
"lavande";"n.a.";"fre"
"lavandería";"lavand.";"spa"
"lavender";"n.a.";"eng"
"lavindkomstkommission";"lavindkomstkomm.";"dan"
"lavoir";"n.a.";"fre"
"lavor-";"lav.";"ita"
"lavoura";"n.a.";"por"
"lavra";"n.a.";"por"
"Lawinenereignis";"Lawinenereign.";"ger"
"ławnik";"ław.";"pol"
"Lawrence";"n.a.";"eng"
"lawsuit";"n.a.";"eng"
"lawyer";"n.a.";"eng"
"layered";"layer.";"eng"
"laying";"lay.";"eng"
"layman";"n.a.";"eng"
"Layon";"n.a.";"fre"
"layout";"n.a.";"eng"
"Lazarevac";"Lazar.";"srp"
"Lazatiou";"n.a.";"gre"
"lázeňsk-";"lázeň.";"cze"
"lazern-";"lazern.";"rus"
"lazial-";"laz.";"ita"
"Lazio";"n.a.";"ita"
"Le Caire";"n.a.";"fre"
"Le Creuzot";"n.a.";"fre"
"Le Mans";"n.a.";"fre"
"Le Vésinet";"n.a.";"fre"
"leabharlann-";"leabharl.";
"leader";"lead.";"eng"
"leadership";"leadersh.";"eng"
"leading";"lead.";"eng"
"leaflet-";"leafl.";"eng"
"league";"leag.";"eng"
"leaking";"leak.";"eng"
"learn-";"learn.";"eng"
"lease";"n.a.";"eng"
"leasehold";"leaseh.";"eng"
"leasing";"leas.";"eng"
"leather";"n.a.";"eng"
"leathercraft";"n.a.";"eng"
"leathergood";"n.a.";"eng"
"leaver";"leav.";"eng"
"Leaves";"n.a.";"eng"
"lebanese";"leban.";"eng"
"Lebanon";"Leban.";"eng"
"Leben";"n.a.";"ger"
"leben-";"leb.";"ger"
"lebendig";"leb.";"ger"
"Lebensbeschreibung-";"Lebensbeschreib.";"ger"
"Lebensbild";"n.a.";"ger"
"lebensdauermanagement";"lebensdauermanag.";"ger"
"Lebensforschung-";"Lebensforsch.";"ger"
"Lebensfrage";"Lebensfr.";"ger"
"Lebenshaltung";"Lebenshalt.";"ger"
"Lebenshilfe";"n.a.";"ger"
"Lebenslauf";"n.a.";"ger"
"Lebensmittel";"Lebensm.";"ger"
"Lebensordnung";"Lebensordn.";"ger"
"Lebensreform";"n.a.";"ger"
"Lebensschutz";"n.a.";"ger"
"Lebenssicherung";"Lebenssicher.";"ger"
"Lebensverhältnis";"Lebensverhält.";"ger"
"Lebensverlauf";"n.a.";"ger"
"Lebensversicherung-";"Lebensversicher.";"ger"
"Lebensweise";"Lebensw.";"ger"
"Lebenswerk";"n.a.";"ger"
"lebenswert";"n.a.";"ger"
"Lebenszeit";"n.a.";"ger"
"Lebertagung-";"Lebertag.";"ger"
"lección";"n.a.";"spa"
"léčebné";"léčeb.";"cze"
"lečen-";"leč.";"rus"
"leche";"n.a.";"spa"
"lechebn-";"lech.";"ger"
"lecher-";"leche.";"spa"
"leçon";"n.a.";"fre"
"lecteur";"lect.";"fre"
"lectin";"n.a.";"eng"
"lection-";"lect.";"lat"
"lectionary";"lection.";"eng"
"lector";"lect.";"mul"
"lectur-";"lect.";"fre, eng"
"lectureship";"lecturesh.";"eng"
"lectuur";"lect.";"dut"
"leczn-";"lecz.";"pol"
"ledamot";"n.a.";"swe"
"ledamotsförteckning";"ledamotsförteck.";"swe"
"ledare";"n.a.";"swe"
"ledarskap";"ledarsk.";"swe"
"ledelse";"n.a.";"dan"
"leden-";"led.";"hrv"
"ledenblad";"ledenbl.";"dut"
"ledenbrief";"ledenbr.";"dut"
"ledenkrant";"ledenkr.";"dut"
"ledenlijst";"n.a.";"dut"
"Leder";"n.a.";"ger"
"Lederindustrie";"Lederind.";"ger"
"Lederinstit-";"Lederinst.";"ger"
"Lederpost";"n.a.";"ger"
"lederskas";"ledersk.";"dan"
"Ledertechni-";"Ledertech.";"ger"
"Lederware";"n.a.";"ger"
"Lederwareneinzelhandel";"Lederwareneinzelhand.";"ger"
"Lederwirtschaft-";"Lederwirtsch.";"ger"
"ledevaert";"n.a.";"dut"
"ledger";"n.a.";"eng"
"ledig-";"led.";"ger"
"leefmilieu";"n.a.";"dut"
"leefsituatie";"leefsituat.";"dut"
"leeftijd";"n.a.";"dut"
"leeftijdsopbouw";"n.a.";"dut"
"leegstand";"n.a.";"dut"
"leenverkeer";"leenverk.";"dut"
"leerboek-";"leerb.";"dut"
"Leerdam";"Leerd.";"dut"
"leergang";"leerg.";"dut"
"leerhuis";"n.a.";"dut"
"leerling-";"leerl.";"dut"
"leermiddelen";"leerm.";"dut"
"leerplan";"leerpl.";"dut"
"leerplanontwikkeling";"leerplanontwikk.";"dut"
"leerstoel";"leerst.";"dut"
"Leersum";"n.a.";"dut"
"leesmap";"n.a.";"dut"
"Leeuwarden";"Leeuward.";"dut"
"lefv-";"n.a.";"swe"
"legacy";"leg.";"eng"
"legado";"n.a.";"spa"
"legal-";"leg.";"fre, eng"
"legalizator";"legaliz.";"pol"
"Legasthenie";"n.a.";"ger"
"legat";"n.a.";"dan"
"legemiddel";"legemid.";"nor"
"legen";"n.a.";"ger"
"legend-";"legend.";"eng, ger"
"legeōn-";"legeōn.";"gre"
"legere";"n.a.";"lat"
"legesekretær";"legesekr.";"nor"
"legetøj";"leget.";"dan"
"legge";"n.a.";"ita"
"leggendar-";"leggend.";"ita"
"Legierung-";"Legier.";"ger"
"légion-";"legion.";"fre, eng"
"legirovan-";"legir.";"rus"
"legis";"n.a.";"lat"
"legisla-";"legis.";"spa"
"législat-";"légis.";"spa, ita, fre"
